z	n	name	levelEnergy(MeV)	halflife	halflifeUnit	halflifeUncertainty	massExcess(keV)	massExcessUncertainty
9	16	25F	0	81	ms	10	1.13E+4	9.64E+1
9	17	26F	0	8.6	ms	0.7	1.86E+4	1.07E+2
9	17	26F	0.6434	2.2	ms	0.1	1.93e+04	1.07e+02
9	10	19F	0	STABLE			-1.48E+03	8.20E-4
9	11	20F	0	11.0064	s	0.0081	-1.74E+01	3.00E-2
9	14	23F	0	2.23	s	0.14	3.28E+3	3.33E+1
9	15	24F	0	384	ms	15	7.54E+3	9.76E+1
9	12	21F	0	4.158	s	0.02	-4.76E+01	1.8
9	13	22F	0	4.23	s	0.04	2.79E+3	1.23E+1
9	21	30F	0	250	ns	<	4.89E+4	5.00E+2
9	22	31F	0				5.68E+4	5.35E+2
9	20	29F	0	3.3	ms	0.4	4.01E+4	5.25E+2
9	5	14F	0	910	keV	100	3.19E+4	4.11E+1
9	6	15F	0	0.38	MeV	0.21	1.65E+4	1.40E+1
9	7	16F	0	23.1	keV	3.8	1.06E+4	5.36
9	8	17F	0	64.368	s	0.025	1.95E+3	2.48E-1
9	9	18F	0	109.734	m	0.008	8.73E+2	4.63E-1
10	10	20Ne	0	STABLE			-7.04E+03	1.54E-3
10	11	21Ne	0	STABLE			-5.73E+03	3.80E-2
10	12	22Ne	0	STABLE			-8.02E+03	1.80E-2
10	13	23Ne	0	37.148	s	0.032	-5.15E+03	1.04E-1
10	14	24Ne	0	3.38	m	0.02	-5.95E+03	5.13E-1
10	15	25Ne	0	602	ms	8	-2.03E+03	2.90E+1
10	16	26Ne	0	196	ms	2	4.81E+2	1.84E+1
10	17	27Ne	0	30.9	ms	1.1	7.05E+3	9.07E+1
10	18	28Ne	0	18.7	ms	0.2	1.12E+4	1.26E+2
10	19	29Ne	0	14	ms	0.5	1.83E+4	1.49E+2
10	20	30Ne	0	7.3	ms	0.3	2.32E+4	2.53E+2
10	21	31Ne	0	3.4	ms	0.8	3.11E+4	2.66E+2
10	22	32Ne	0	4.5	ms	0.7	3.69E+4	5.03E+2
10	23	33Ne	0	180	ns	<	4.61E+4	6.00E+2
10	24	34Ne	0				5.28E+4	5.13E+2
10	9	19Ne	0	17.2569	s	0.0019	1.75E+3	1.60E-1
10	7	17Ne	0	109.1	ms	0.5	1.65E+4	3.54E-1
10	8	18Ne	0	1.66432	s	1E-05	5.31E+3	3.63E-1
10	5	15Ne	0	0.59	MeV	0.23		
10	6	16Ne	0	80	keV	<	2.39E+4	2.04E+1
11	9	20Na	0	448	ms	2	6.85E+3	1.1
11	8	19Na	0	40	keV	<	1.29E+4	1.05E+1
11	7	18Na	0	0.2	MeV	<=	2.50E+4	9.38E+1
11	6	17Na	0				3.47E+4	5.96E+1
11	21	32Na	0	13.2	ms	0.3	1.86E+4	3.72E+1
11	20	31Na	0	17	ms	0.2	1.22E+4	1.39E+1
11	23	34Na	0	5.5	ms	1	3.16E+4	5.99E+2
11	22	33Na	0	8.2	ms	0.2	2.37E+4	4.49E+2
11	24	35Na	0	2.4	ms	0.4	3.78E+4	6.70E+2
11	26	37Na	0				5.31E+4	6.87E+2
11	10	21Na	0	22.4548	s	0.0053	-2.18E+03	4.20E-2
11	12	23Na	0	STABLE			-9.52E+03	1.81E-3
11	11	22Na	0	2.6019	y	0.0005	-5.18E+03	1.32E-1
11	14	25Na	0	58.9	s	0.6	-9.35E+03	1.2
11	13	24Na	0	14.9578	h	0.0011	-8.41E+03	1.70E-2
11	16	27Na	0	301	ms	5	-5.51E+03	3.72
11	15	26Na	0	1.07128	s	0.00025	-6.86E+03	3.5
11	18	29Na	0	43.2	ms	0.4	2.67E+3	7.33
11	17	28Na	0	34.6	ms	1	-9.88E+02	1.02E+1
11	19	30Na	0	44.8	ms	1.2	8.47E+3	4.72
12	11	23Mg	0	11.3042	s	0.0035	-5.47E+03	3.20E-2
12	10	22Mg	0	3.87445	s	0.00069	-3.99E+02	1.59E-1
12	13	25Mg	0	STABLE			-1.31E+04	4.70E-2
12	12	24Mg	0	STABLE			-1.39E+04	1.30E-2
12	15	27Mg	0	9.435	m	0.027	-1.45E+04	4.70E-2
12	14	26Mg	0	STABLE			-1.62E+04	2.90E-2
12	17	29Mg	0	1.31	s	0.13	-1.06E+04	3.45E-1
12	16	28Mg	0	20.915	h	0.009	-1.50E+04	2.61E-1
