z	n	name	levelEnergy(MeV)	halflife	halflifeUnit	halflifeUncertainty	massExcess(keV)	massExcessUncertainty
22	29	51Ti	0	5.756	m	0.009	-4.97E+04	4.84E-1
22	28	50Ti	0	STABLE			-5.14E+04	8.20E-2
22	27	49Ti	0	STABLE			-4.85E+04	7.80E-2
22	26	48Ti	0	STABLE			-4.84E+04	7.40E-2
22	25	47Ti	0	STABLE			-4.49E+04	8.00E-2
22	24	46Ti	0	STABLE			-4.41E+04	9.00E-2
22	23	45Ti	0	184.8	m	0.5	-3.90E+04	8.36E-1
22	22	44Ti	0	59.1	y	0.3	-3.75E+04	7.00E-1
22	21	43Ti	0	509	ms	5	-2.93E+04	5.71
22	20	42Ti	0	208.34	ms	0.57	-2.51E+04	2.69E-1
23	41	64V	0	15	ms	2	-1.63E+04	4.00E+2
23	42	65V	0				-1.21E+04	5.00E+2
23	43	66V	0				-6.30E+03	5.00E+2
23	44	67V	0				-1.74E+03	6.00E+2
23	40	63V	0	19.6	ms	0.9	-2.17E+04	3.39E+2
23	27	50V	0	2.68e+17	y	1.08e+16-1.09e+16	-4.92E+04	9.30E-2
23	28	51V	0	STABLE			-5.22E+04	9.70E-2
23	29	52V	0	3.743	m	0.005	-5.14E+04	1.59E-1
23	20	43V	0	79.3	ms	2.4	-1.79E+04	4.28E+1
23	21	44V	0	111	ms	7	-2.38E+04	7.26
23	21	44V	0.267	150	ms	3	-2.35E+04	7.26e+00
23	22	45V	0	546	ms	6	-3.18E+04	8.63E-1
23	23	46V	0	422.62	ms	0.05	-3.70E+04	1.34E-1
23	24	47V	0	32.6	m	0.3	-4.20E+04	1.10E-1
23	25	48V	0	15.974	d	0.002	-4.44E+04	9.72E-1
23	26	49V	0	330	d	15	-4.79E+04	8.24E-1
23	38	61V	0	48.2	ms	0.6	-3.01E+04	2.34E+2
23	39	62V	0	33.6	ms	2.3	-2.52E+04	2.64E+2
23	30	53V	0	1.537	m	0.014	-5.18E+04	3.1
23	31	54V	0	49.8	s	0.5	-4.98E+04	1.11E+1
23	32	55V	0	6.54	s	0.15	-4.91E+04	2.70E+1
23	33	56V	0	218	ms	6	-4.61E+04	1.75E+2
23	34	57V	0	347	ms	9	-4.44E+04	8.47E+1
23	35	58V	0	192	ms	7	-4.04E+04	9.58E+1
23	36	59V	0	96	ms	4	-3.76E+04	1.37E+2
23	37	60V	0	122	ms	18	-3.30E+04	1.81E+2
23	37	60V	0+X	40	ms	15	-3.30E+04	1.81E+2
23	19	42V	0				-7.62E+03	1.96E+2
24	39	63Cr	0	129	ms	2	-3.61E+04	7.26E+1
24	31	55Cr	0	3.498	m	0.004	-5.51E+04	2.28E-1
24	32	56Cr	0	5.94	m	0.1	-5.52E+04	5.78E-1
24	33	57Cr	0	21.1	s	1	-5.25E+04	1.86
24	34	58Cr	0	7	s	0.3	-5.19E+04	2.98
24	35	59Cr	0	1.05	s	0.09	-4.81E+04	6.71E-1
24	36	60Cr	0	490	ms	10	-4.69E+04	1.11
24	37	61Cr	0	243	ms	10	-4.24E+04	1.86
24	38	62Cr	0	206	ms	11	-4.08E+04	3.44
24	30	54Cr	0	STABLE			-5.69E+04	1.32E-1
24	42	66Cr	0	24	ms	2	-2.51E+04	3.00E+2
24	43	67Cr	0				-1.92E+04	4.00E+2
24	44	68Cr	0				-1.56E+04	5.00E+2
24	45	69Cr	0				-9.63E+03	5.00E+2
24	46	70Cr	0				-5.64E+03	6.00E+2
24	40	64Cr	0	43	ms	1	-3.36E+04	2.99E+2
24	41	65Cr	0	28	ms	2	-2.83E+04	2.00E+2
24	18	42Cr	0	13.3	ms	1	7.06E+3	3.00E+2
24	19	43Cr	0	21.1	ms	0.3	-1.97E+03	2.00E+2
24	28	52Cr	0	STABLE			-5.54E+04	1.12E-1
24	29	53Cr	0	STABLE			-5.52E+04	1.16E-1
24	20	44Cr	0	42.8	ms	0.6	-1.34E+04	5.12E+1
24	21	45Cr	0	60.9	ms	0.4	-1.95E+04	3.53E+1
24	22	46Cr	0	244.3	ms	1.3	-2.94E+04	1.14E+1
24	23	47Cr	0	460.6	ms	1.6	-3.45E+04	5.19
24	24	48Cr	0	21.56	h	0.03	-4.28E+04	7.31
24	25	49Cr	0	42.3	m	0.1	-4.53E+04	2.2
24	26	50Cr	0	STABLE			-5.02E+04	9.40E-2
24	27	51Cr	0	27.7004	d	0.0022	-5.14E+04	1.67E-1
25	44	69Mn	0	22.1	ms	2.5	-2.53E+04	4.00E+2
25	43	68Mn	0	33.9	ms	1.7	-2.89E+04	3.00E+2
25	46	71Mn	0				-1.66E+04	5.00E+2
25	45	70Mn	0	19.9	ms	1.7	-2.04E+04	5.00E+2
25	48	73Mn	0				-6.70E+03	6.00E+2
25	47	72Mn	0				-1.11E+04	6.00E+2
25	40	65Mn	0	91.7	ms	1	-4.09E+04	3.72
25	42	67Mn	0	47	ms	3	-3.35E+04	2.00E+2
25	41	66Mn	0	63.9	ms	0.9	-3.67E+04	1.11E+1
25	29	54Mn	0	312.1	d	0.04	-5.55E+04	1
25	22	47Mn	0	88	ms	1.3	-2.25E+04	3.16E+1
25	21	46Mn	0	36.2	ms	0.4	-1.24E+04	8.66E+1
25	24	49Mn	0	382.1	ms	6.8	-3.76E+04	2.21
25	23	48Mn	0	157.7	ms	2.1	-2.92E+04	6.69
25	26	51Mn	0	45.84	m	0.24	-4.82E+04	3.04E-1
25	25	50Mn	0	283.19	ms	0.08	-4.26E+04	1.15E-1
25	25	50Mn	0.22528	1.75	m	0.02	-4.24E+04	1.15e-01
25	28	53Mn	0	3.62e+06	y	3.79e+05	-5.46E+04	3.46E-1
25	27	52Mn	0	5.591	d	0.003	-5.07E+04	1.29E-1
25	27	52Mn	0.37774900000000006	21.4	m	0.4	-5.03E+04	1.29e-01
25	33	58Mn	0	3	s	0.1	-5.58E+04	2.7
25	33	58Mn	0.07177	65.4	s	0.5	-5.58E+04	2.70e+00
25	32	57Mn	0	85.4	s	1.8	-5.74E+04	1.5
25	35	60Mn	0	0.28	s	0.02	-5.29E+04	2.32
25	35	60Mn	0.27180000000000004	1.77	s	0.02	-5.27E+04	2.33e+00
25	34	59Mn	0	4.59	s	0.04	-5.55E+04	2.32
25	37	62Mn	0	92	ms	13	-4.85E+04	6.54
25	37	62Mn	0.34800000000000003	671	ms	7	-4.82E+04	6.54e+00
25	36	61Mn	0	0.709	s	0.006	-5.17E+04	2.32
25	39	64Mn	0	90	ms	3	-4.29E+04	3.54
25	38	63Mn	0	277	ms	5	-4.68E+04	3.72
25	31	56Mn	0	2.5788	h	0.0002	-5.69E+04	2.93E-1
25	30	55Mn	0	STABLE			-5.77E+04	2.60E-1
25	19	44Mn	0	105	ns	<	7.46E+3	3.00E+2
26	34	60Fe	0	2.61e+06	y	3.76e+04	-6.14E+04	3.4
26	33	59Fe	0	44.495	d	0.009	-6.06E+04	3.30E-1
26	36	62Fe	0	68	s	2	-5.88E+04	2.79
26	35	61Fe	0	6.03	m	0.05	-5.89E+04	2.6
26	38	64Fe	0	2	s	0.3	-5.49E+04	5.01
26	37	63Fe	0	6.1	s	0.6	-5.56E+04	4.3
26	39	65Fe	0	0.803	s	0.018	-5.12E+04	5.11
26	39	65Fe	0.3937	1.15	s	0.12	-5.08E+04	5.11e+00
26	30	56Fe	0	STABLE			-6.06E+04	2.68E-1
26	32	58Fe	0	STABLE			-6.21E+04	3.16E-1
26	31	57Fe	0	STABLE			-6.01E+04	2.68E-1
26	45	71Fe	0	34	ms	7	-3.19E+04	4.00E+2
26	44	70Fe	0	61.5	ms	0.9	-3.68E+04	3.00E+2
26	47	73Fe	0	12.9	ms	1.6	-2.39E+04	5.00E+2
26	46	72Fe	0	19	ms	4	-2.92E+04	5.00E+2
26	49	75Fe	0				-1.47E+04	6.00E+2
26	48	74Fe	0	8.2	ms	-4.5	-2.06E+04	5.00E+2
26	41	67Fe	0	398	ms	9	-4.57E+04	3.81
26	40	66Fe	0	472	ms	33	-5.00E+04	4.09
26	43	69Fe	0	162	ms	7	-3.91E+04	2.00E+2
26	42	68Fe	0	186	ms	4	-4.38E+04	1.93E+2
26	19	45Fe	0	2.6	ms	0.2	1.44E+4	2.83E+2
26	23	49Fe	0	64.7	ms	0.3	-2.47E+04	2.42E+1
26	22	48Fe	0	45.5	ms	0.8	-1.80E+04	9.22E+1
26	25	51Fe	0	305	ms	2	-4.01E+04	1.39
26	24	50Fe	0	152	ms	0.6	-3.44E+04	8.38
26	27	53Fe	0	8.51	m	0.02	-5.09E+04	1.66
26	27	53Fe	3.0404	2.54	m	0.03	-4.79E+04	1.67e+00
26	26	52Fe	0	8.273	h	0.009	-4.83E+04	1.79E-1
26	26	52Fe	6.9584	45.9	s	0.6	-4.14E+04	1.79e-01
26	29	55Fe	0	2.756	y	0	-5.74E+04	3.08E-1
26	28	54Fe	0	STABLE			-5.62E+04	3.43E-1
26	21	47Fe	0	21.9	ms	0.2	-7.13E+03	5.00E+2
26	20	46Fe	0	13.9	ms	1.5	1.21E+3	3.00E+2
26	50	76Fe	0				-1.05E+04	6.00E+2
27	47	74Co	0	31.3	ms	1.3	-3.35E+04	4.00E+2
27	48	75Co	0	26.5	ms	1.2	-3.05E+04	4.00E+2
27	45	72Co	0	51.9	ms	0.8	-4.03E+04	3.00E+2
27	45	72Co	0+X	47.8	ms	0.5	-4.03E+04	3.00E+2
27	45	72Co	0+X	180	ms	10	-4.03E+04	3.00E+2
27	46	73Co	0	42	ms	0.7	-3.79E+04	3.00E+2
27	49	76Co	0+X	16	ms	4	-2.56E+04	5.00E+2
27	49	76Co	0+X	21.7	ms	1.6	-2.56E+04	5.00E+2
27	40	67Co	0	329	ms	28	-5.53E+04	6.44
27	40	67Co	0.49154000000000003	496	ms	34	-5.48E+04	6.44e+00
27	43	70Co	0+X	114	ms	4	-4.65E+04	1.09E+1
27	43	70Co	0+X	507	ms	7	-4.65E+04	1.09E+1
27	44	71Co	0	80	ms	2	-4.43E+04	4.65E+2
27	41	68Co	0	222	ms	28	-5.16E+04	3.85
27	41	68Co	0+X	1.6	s	0.3	-5.16E+04	3.85
27	42	69Co	0	210	ms	9	-5.03E+04	8.56E+1
27	42	69Co	0.176	0.75	s	0.25	-5.02E+04	8.57e+01
27	50	77Co	0	13	ms	2.9	-2.19E+04	6.00E+2
27	51	78Co	0				-1.53E+04	7.00E+2
27	25	52Co	0	111	ms	2	-3.43E+04	5.28
27	25	52Co	0.38	102	ms	5	-3.40E+04	5.28e+00
27	26	53Co	0	244	ms	3	-4.26E+04	1.72
27	26	53Co	3.1744000000000003	248	ms	8	-3.95E+04	1.73e+00
27	23	50Co	0	38.8	ms	0.3	-1.75E+04	1.25E+2
27	24	51Co	0	68.8	ms	1.9	-2.73E+04	4.84E+1
27	29	56Co	0	77.236	d	0.026	-5.60E+04	4.75E-1
27	27	54Co	0	193.27	ms	0.04	-4.80E+04	3.55E-1
27	27	54Co	0.1971	1.48	m	0.02	-4.78E+04	3.55e-01
27	28	55Co	0	17.53	h	0.02	-5.40E+04	4.05E-1
27	36	63Co	0	26.9	s	0.4	-6.18E+04	1.85E+1
27	37	64Co	0	300	ms	30	-5.97E+04	2.00E+1
27	37	64Co	0.107	280	ms	>	-5.97E+04	2.00e+01
27	34	61Co	0	1.65	h	0.005	-6.28E+04	8.39E-1
27	35	62Co	0	1.51	m	0.04	-6.14E+04	1.85E+1
27	35	62Co	0.022	13.9	m	0.04	-6.14E+04	1.86e+01
27	38	65Co	0	1.16	s	0.03	-5.91E+04	2.08
27	39	66Co	0	200	ms	15	-5.64E+04	1.39E+1
27	32	59Co	0	STABLE			-6.22E+04	3.97E-1
27	33	60Co	0	5.271	y	0	-6.16E+04	4.03E-1
27	33	60Co	0.05859	10.467	m	0.001	-6.16E+04	4.03e-01
27	30	57Co	0	271.8	d	0.03	-5.93E+04	5.16E-1
27	31	58Co	0	70.883	d	0.022	-5.98E+04	1.15
27	31	58Co	0.02495	8.856	h	0.023	-5.98E+04	1.15e+00
28	51	79Ni	0	43	ms	1.1	-2.81E+04	5.00E+2
28	52	80Ni	0	24	ms	9	-2.32E+04	6.00E+2
28	50	78Ni	0	122.2	ms	5.1	-3.48E+04	4.00E+2
28	53	81Ni	0				-1.60E+04	7.00E+2
28	54	82Ni	0				-1.07E+04	8.00E+2
28	37	65Ni	0	2.5175	h	0.0005	-6.51E+04	4.83E-1
28	38	66Ni	0	54.6	h	0.3	-6.60E+04	1.39
28	35	63Ni	0	100.8	y	1.2	-6.55E+04	4.26E-1
28	36	64Ni	0	STABLE			-6.70E+04	4.63E-1
28	39	67Ni	0	21	s	1	-6.37E+04	2.88
28	30	58Ni	0	STABLE			-6.02E+04	3.49E-1
28	33	61Ni	0	STABLE			-6.42E+04	3.55E-1
28	34	62Ni	0	STABLE			-6.67E+04	4.25E-1
28	31	59Ni	0	8.10e+04	y	8.92e+03	-6.11E+04	3.51E-1
28	32	60Ni	0	STABLE			-6.44E+04	3.53E-1
28	48	76Ni	0	234.7	ms	2.7	-4.21E+04	3.00E+2
28	49	77Ni	0	158.5	ms	4.2	-3.73E+04	4.00E+2
28	46	74Ni	0	507.7	ms	4.6	-4.87E+04	2.00E+2
28	47	75Ni	0	332.2	ms	3.1	-4.42E+04	2.00E+2
28	40	68Ni	0	29	s	2	-6.34E+04	2.98
28	41	69Ni	0	11.4	s	0.3	-5.99E+04	3.72
28	41	69Ni	0.321	3.5	s	0.4	-5.97E+04	3.73e+00
28	44	72Ni	0	1.57	s	0.05	-5.42E+04	2.23
28	45	73Ni	0	838	ms	28	-5.01E+04	2.42
28	42	70Ni	0	6	s	0.3	-5.92E+04	2.14
28	43	71Ni	0	2.55	s	0.04	-5.54E+04	2.23
28	43	71Ni	0.499	2.3	s	0.3	-5.49E+04	2.24e+00
28	26	54Ni	0	114.1	ms	0.3	-3.92E+04	4.65
28	27	55Ni	0	203.9	ms	2.6	-4.53E+04	7.05E-1
28	24	52Ni	0	41.4	ms	0.9	-2.25E+04	8.29E+1
28	25	53Ni	0	55.2	ms	0.7	-2.96E+04	2.51E+1
28	28	56Ni	0	6.081	d	0.015	-5.39E+04	3.99E-1
28	29	57Ni	0	35.6	h	0.06	-5.60E+04	5.66E-1
28	22	50Ni	0	17.6	ms	2.2	-3.46E+03	5.00E+2
28	23	51Ni	0	23.8	ms	0.2	-1.16E+04	5.00E+2
28	20	48Ni	0	2.1	ms	0.8	1.81E+4	4.24E+2
28	21	49Ni	0	7.5	ms	1	8.53E+3	6.00E+2
29	28	57Cu	0	196.4	ms	0.7	-4.73E+04	5.01E-1
29	27	56Cu	0	80.8	ms	1.3	-3.86E+04	6.39
29	26	55Cu	0	55.9	ms	1.5	-3.16E+04	1.55E+2
29	25	54Cu	0	75	ns	<	-2.12E+04	4.00E+2
29	29	58Cu	0	3.205	s	0.007	-5.16E+04	5.64E-1
29	24	53Cu	0	130	ns	<	-1.31E+04	5.00E+2
29	39	68Cu	0	30.8	s	0.6	-6.55E+04	1.58
29	39	68Cu	0.72126	3.77	m	0.04	-6.48E+04	1.58e+00
29	38	67Cu	0	61.81	h	0.1	-6.73E+04	8.92E-1
29	37	66Cu	0	5.09	m	0.009	-6.62E+04	6.49E-1
29	36	65Cu	0	STABLE			-6.72E+04	6.43E-1
29	31	60Cu	0	23.74	m	0.35	-5.83E+04	1.61
29	30	59Cu	0	82	s	0.4	-5.63E+04	5.28E-1
29	35	64Cu	0	12.7007	h	0.0013	-6.54E+04	4.27E-1
29	34	63Cu	0	STABLE			-6.55E+04	4.26E-1
29	33	62Cu	0	9.672	m	0.008	-6.27E+04	6.37E-1
29	32	61Cu	0	3.339	h	0.007	-6.19E+04	9.51E-1
29	49	78Cu	0	331.3	ms	1.9	-4.47E+04	1.33E+1
29	48	77Cu	0	469.8	ms	1.8	-4.88E+04	1.21
29	47	76Cu	0	637	ms	8	-5.09E+04	9.13E-1
29	42	71Cu	0	19.4	s	1.4	-6.27E+04	1.49
29	41	70Cu	0	44.5	s	0.3	-6.29E+04	1.08
29	41	70Cu	0.1011	33	s	2	-6.29E+04	1.08e+00
29	41	70Cu	0.24659999999999999	6.4	s	0.4	-6.27E+04	1.08e+00
29	40	69Cu	0	2.9	m	0.1	-6.57E+04	1.39
29	46	75Cu	0	1.224	s	0.003	-5.44E+04	7.18E-1
29	45	74Cu	0	1.606	s	0.012	-5.60E+04	6.14
29	44	73Cu	0	4.2	s	0.12	-5.89E+04	1.94
29	43	72Cu	0	6.63	s	0.03	-5.97E+04	1.39
29	53	82Cu	0	33	ms	1	-2.57E+04	4.00E+2
29	52	81Cu	0	73.2	ms	6.8	-3.19E+04	3.00E+2
29	51	80Cu	0	113.3	ms	6.4	-3.66E+04	3.00E+2
29	50	79Cu	0	241	ms	3.3	-4.24E+04	1.04E+2
29	54	83Cu	0				-2.03E+04	5.00E+2
30	28	58Zn	0	86	ms	2	-4.22E+04	5.00E+1
30	27	57Zn	0+X	45.6	ms	0.7	-3.25E+04	2.00E+2
30	29	59Zn	0	182.1	ms	0.8	-4.72E+04	7.59E-1
30	24	54Zn	0	1.59	ms	0.25	-5.70E+03	2.17E+2
30	26	56Zn	0	32	ms	0.7	-2.53E+04	4.00E+2
30	25	55Zn	0	19.8	ms	1.3	-1.42E+04	4.00E+2
30	53	83Zn	0	119	ms	16	-3.62E+04	3.00E+2
30	52	82Zn	0	177.7	ms	2.5	-4.23E+04	3.07
30	55	85Zn	0				-2.51E+04	5.00E+2
30	54	84Zn	0	53.6	ms	8.1	-3.18E+04	4.00E+2
30	51	81Zn	0	299.4	ms	4.2	-4.61E+04	5.03
30	50	80Zn	0	561.9	ms	2.9	-5.16E+04	2.58
30	42	72Zn	0	46.5	h	0.1	-6.81E+04	2.14
30	41	71Zn	0	2.42	m	0.08	-6.73E+04	2.65
30	41	71Zn	0.15769999999999998	4.137	h	0.031	-6.72E+04	2.65e+00
30	44	74Zn	0	96	s	1	-6.57E+04	2.51
30	43	73Zn	0	24.5	s	0.2	-6.55E+04	1.86
30	40	70Zn	0	STABLE			-6.95E+04	1.91
30	49	79Zn	0	746	ms	42	-5.34E+04	2.22
30	49	79Zn	1.1	200	ms	>	-5.23E+04	2.23e+00
30	46	76Zn	0	5.3	s	0.4	-6.23E+04	1.45
30	45	75Zn	0	10.2	s	0.2	-6.25E+04	1.95
30	48	78Zn	0	1.47	s	0.15	-5.74E+04	1.94
30	47	77Zn	0	2.09	s	0.05	-5.87E+04	1.97
30	47	77Zn	0.77244	1.05	s	0.1	-5.80E+04	1.97e+00
30	31	61Zn	0	88.8	s	0.5	-5.63E+04	1.58E+1
30	30	60Zn	0	2.41	m	0.03	-5.41E+04	5.48E-1
30	33	63Zn	0	38.38	m	0.07	-6.22E+04	1.56
30	32	62Zn	0	9.193	h	0.012	-6.11E+04	6.15E-1
30	39	69Zn	0	56.4	m	0.7	-6.84E+04	7.95E-1
30	39	69Zn	0.438636	13.748	h	0.01	-6.80E+04	7.95e-01
30	38	68Zn	0	STABLE			-7.00E+04	7.78E-1
30	35	65Zn	0	243.93	d	0.08	-6.59E+04	6.46E-1
30	34	64Zn	0	STABLE			-6.60E+04	6.44E-1
30	37	67Zn	0	STABLE			-6.78E+04	7.55E-1
30	36	66Zn	0	STABLE			-6.88E+04	7.44E-1
31	54	85Ga	0	95.1	ms	1	-3.97E+04	3.72E+1
31	53	84Ga	0	97.6	ms	1.2	-4.40E+04	2.98E+1
31	56	87Ga	0	29	ms	4	-2.88E+04	5.00E+2
31	55	86Ga	0	49	ms	2	-3.37E+04	4.00E+2
31	50	81Ga	0	1.217	s	0.005	-5.76E+04	3.26
31	52	83Ga	0	310	ms	1	-4.92E+04	2.61
31	51	82Ga	0	600	ms	4	-5.29E+04	2.42
31	43	74Ga	0	8.1	m	0.06	-6.80E+04	2.99
31	43	74Ga	0.059571	9.5	s	1	-6.80E+04	2.99e+00
31	42	73Ga	0	4.87	h	0.02	-6.96E+04	1.67
31	45	76Ga	0	31	s	0.8	-6.62E+04	1.95
31	44	75Ga	0	126	s	2	-6.84E+04	6.71E-1
31	41	72Ga	0	14.025	h	0.058	-6.85E+04	8.18E-1
31	40	71Ga	0	STABLE			-7.01E+04	8.11E-1
31	47	78Ga	0	5.09	s	0.05	-6.37E+04	1.05
31	46	77Ga	0	13.2	s	0.2	-6.59E+04	2.42
31	49	80Ga	0	1.9	s	0.1	-5.92E+04	2.89
31	49	80Ga	0.02245	1.3	s	0.2	-5.92E+04	2.89e+00
31	48	79Ga	0	2.848	s	0.003	-6.25E+04	1.2
31	32	63Ga	0	32.1	s	0.4	-5.65E+04	1.3
31	31	62Ga	0	116.123	ms	0.023	-5.19E+04	6.37E-1
31	34	65Ga	0	15.134	m	0.028	-6.26E+04	7.91E-1
31	33	64Ga	0	2.627	m	0	-5.88E+04	1.42
31	30	61Ga	0	166	ms	2	-4.71E+04	3.79E+1
31	39	70Ga	0	21.14	m	0.03	-6.89E+04	1.2
31	36	67Ga	0	3.2615	d	0.0004	-6.68E+04	1.17
31	35	66Ga	0	9.304	h	0.008	-6.37E+04	1.09
31	38	69Ga	0	STABLE			-6.93E+04	1.19
31	37	68Ga	0	67.843	m	0.017	-6.70E+04	1.43
31	29	60Ga	0	69.4	ms	0.3	-3.95E+04	2.00E+2
31	28	59Ga	0	43	ns	<	-3.37E+04	1.70E+2
32	45	77Ge	0	11.211	h	0.003	-7.12E+04	5.30E-2
32	45	77Ge	0.15971000000000002	53.7	s	0.3	-7.11E+04	5.30e-02
32	46	78Ge	0	87	m	1	-7.18E+04	3.53
32	43	75Ge	0	82.78	m	0.06	-7.18E+04	5.20E-2
32	43	75Ge	0.13969	48.1	s	0.5	-7.17E+04	5.20e-02
32	44	76Ge	0	1.89e+21	y	8.33e+19-8.33e+19	-7.32E+04	1.80E-2
32	41	73Ge	0	STABLE			-7.12E+04	5.70E-2
32	41	73Ge	0.066725	0.449	s	0.011	-7.12E+04	5.70e-02
32	42	74Ge	0	STABLE			-7.34E+04	1.30E-2
32	40	72Ge	0	STABLE			-7.25E+04	7.60E-2
32	49	81Ge	0	6.4	s	0.2	-6.62E+04	2.05
32	49	81Ge	0.67914	8.6	s	0.6	-6.56E+04	2.06e+00
32	47	79Ge	0	18.97	s	0.04	-6.95E+04	3.71E+1
32	47	79Ge	0.18595	39.7	s	0.9	-6.93E+04	3.72e+01
32	48	80Ge	0	29.5	s	0.4	-6.95E+04	2.05
32	34	66Ge	0	2.26	h	0.04	-6.16E+04	2.4
32	35	67Ge	0	18.9	m	0.3	-6.26E+04	4.31
32	32	64Ge	0	63.7	s	2.5	-5.43E+04	3.72
32	33	65Ge	0	30.8	s	0.4	-5.64E+04	2.16
32	30	62Ge	0	73.5	ms	0.1	-4.21E+04	1.40E+2
32	31	63Ge	0	153.3	ms	1	-4.69E+04	3.72E+1
32	38	70Ge	0	STABLE			-7.05E+04	8.20E-1
32	39	71Ge	0	11.42	d	0.04	-6.99E+04	8.15E-1
32	36	68Ge	0	271.04	d	0.09	-6.69E+04	1.87
32	37	69Ge	0	38.9	h	0.07	-6.71E+04	1.31
32	29	61Ge	0	40.7	ms	0.4	-3.37E+04	3.00E+2
32	27	59Ge	0	13.3	ms	1.7	-1.63E+04	4.00E+2
32	28	60Ge	0	25	ms	0.3	-2.75E+04	3.00E+2
32	56	88Ge	0	61	ms	6	-3.95E+04	4.00E+2
32	57	89Ge	0				-3.30E+04	4.00E+2
32	54	86Ge	0	226	ms	21	-4.93E+04	4.37E+2
32	55	87Ge	0	103	ms	4	-4.35E+04	3.00E+2
32	52	84Ge	0	952	ms	8	-5.81E+04	3.17
32	53	85Ge	0	514	ms	17	-5.31E+04	3.72
32	50	82Ge	0	4.48	s	0.31	-6.54E+04	2.24
32	51	83Ge	0	1.85	s	0.06	-6.09E+04	2.42
32	58	90Ge	0				-2.84E+04	5.00E+2
33	50	83As	0	14.1	s	1.1	-6.96E+04	2.79
33	57	90As	0				-4.09E+04	4.00E+2
33	58	91As	0				-3.65E+04	4.00E+2
33	55	88As	0	200	ms	110	-5.04E+04	2.00E+2
33	56	89As	0				-4.65E+04	3.00E+2
33	53	86As	0	944	ms	8	-5.89E+04	3.45
33	54	87As	0	484	ms	26	-5.56E+04	2.98
33	51	84As	0	3.16	s	0.58	-6.58E+04	3.17
33	52	85As	0	2.023	s	0.007	-6.31E+04	3.07
33	59	92As	0				-3.03E+04	5.00E+2
33	46	79As	0	9.01	m	0.15	-7.36E+04	5.32
33	47	80As	0	15.2	s	0.2	-7.22E+04	3.33
33	44	77As	0	38.79	h	0.04	-7.39E+04	1.69
33	45	78As	0	90.7	m	0.2	-7.28E+04	9.77
33	42	75As	0	STABLE			-7.30E+04	8.84E-1
33	43	76As	0	26.24	h	0.09	-7.22E+04	8.86E-1
33	40	73As	0	80.3	d	0.06	-7.09E+04	3.85
33	41	74As	0	17.78	d	0.04	-7.08E+04	1.69
33	48	81As	0	33.3	s	0.8	-7.25E+04	2.64
33	49	82As	0	19.1	s	0.5	-7.01E+04	3.72
33	49	82As	0.1316	13.6	s	0.3	-7.00E+04	3.73e+00
33	35	68As	0	151.6	s	0.8	-5.88E+04	1.84
33	36	69As	0	15.2	m	0.2	-6.31E+04	3.19E+1
33	33	66As	0	95.77	ms	0.23	-5.20E+04	5.68
33	34	67As	0	42.5	s	1.2	-5.65E+04	4.43E-1
33	31	64As	0	69.2	ms	1.4	-3.95E+04	2.03E+2
33	32	65As	0	130.3	ms	0.6	-4.69E+04	8.47E+1
33	30	63As	0	43	ns	<	-3.35E+04	2.00E+2
33	39	72As	0	26	h	0.1	-6.82E+04	4.08
33	37	70As	0	52.6	m	0.3	-6.43E+04	1.39
33	38	71As	0	65.3	h	0.07	-6.78E+04	4.16
34	61	95Se	0				-3.04E+04	5.00E+2
34	60	94Se	0				-3.68E+04	5.00E+2
34	50	84Se	0	3.3	m	0.1	-7.59E+04	1.96
34	51	85Se	0	32.9	s	0.3	-7.24E+04	2.61
34	58	92Se	0				-4.67E+04	4.00E+2
34	59	93Se	0				-4.08E+04	4.00E+2
34	56	90Se	0	195	ms	30	-5.58E+04	3.29E+2
34	57	91Se	0	270	ms	50	-5.05E+04	4.33E+2
34	54	88Se	0	1.51	s	0.03	-6.38E+04	3.35
34	55	89Se	0	0.41	s	0.03	-5.89E+04	3.72
34	52	86Se	0	14.3	s	0.3	-7.05E+04	2.52
34	53	87Se	0	5.51	s	0.12	-6.64E+04	2.24
34	40	74Se	0	STABLE			-7.22E+04	1.50E-2
34	47	81Se	0	18.5	m	0.1	-7.63E+04	9.77E-1
34	47	81Se	0.10300000000000001	57.28	m	0.02	-7.63E+04	9.77e-01
34	48	82Se	0	8.77e+19	y	2.98e+18-2.97e+18	-7.75E+04	4.66E-1
34	45	79Se	0	3.27e+05	y	2.86e+04	-7.59E+04	2.23E-1
34	45	79Se	0.09577	3.92	m	0.01	-7.58E+04	2.23e-01
34	46	80Se	0	STABLE			-7.77E+04	9.47E-1
34	43	77Se	0	STABLE			-7.45E+04	6.20E-2
34	43	77Se	0.16192230000000002	17.38	s	0.04	-7.44E+04	6.20e-02
34	44	78Se	0	STABLE			-7.70E+04	1.79E-1
34	41	75Se	0	119.779	d	0.011	-7.21E+04	7.30E-2
34	42	76Se	0	STABLE			-7.52E+04	1.60E-2
34	49	83Se	0	22.25	m	0.05	-7.53E+04	3.03
34	49	83Se	0.22891999999999998	70.2	s	0.5	-7.51E+04	3.04e+00
34	36	70Se	0	41.1	m	0.3	-6.19E+04	1.58
34	37	71Se	0	4.78	m	0.06	-6.31E+04	2.79
34	34	68Se	0	35.5	s	0.7	-5.41E+04	4.96E-1
34	35	69Se	0	27.4	s	0.2	-5.64E+04	1.49
34	32	66Se	0	51	ms	4	-4.16E+04	2.00E+2
