Atomic Number (Z)	Atomic Mass (A)	Element	Half-Life	Half-Life (Unit)	Abundance	Mass Excess	Mass Excess (Unit)
32	77	Ge	53.7	s	-1	-71053.16	keV
32	78	Ge	87	m	-1	-71862.058	keV
32	79	Ge	18.97	s	-1	-69527.18	keV
32	79	Ge	39.7	s	-1	-69341.23	keV
32	80	Ge	29.5	s	-1	-69535.314	keV
32	81	Ge	6.4	s	-1	-66291.695	keV
32	81	Ge	8.6	s	-1	-65612.555	keV
32	82	Ge	4.48	s	-1	-65415.075	keV
32	83	Ge	1.85	s	-1	-60976.442	keV
32	84	Ge	952	ms	-1	-58148.435	keV
32	85	Ge	514	ms	-1	-53123.427	keV
32	86	Ge	226	ms	-1	-49399.927	keV
32	87	Ge	103	ms	-1	-43590	keV
32	88	Ge	61	ms	-1	-39520	keV
32	89	Ge	ignore	ignore	-1	-33040	keV
32	90	Ge	ignore	ignore	-1	-28470	keV
33	63	As	43	ns	-1	-33500	keV
33	64	As	69.2	ms	-1	-39532	keV
33	65	As	130.3	ms	-1	-46937.056	keV
33	66	As	95.77	ms	-1	-52025.084	keV
33	67	As	42.5	s	-1	-56587.232	keV
33	68	As	151.6	s	-1	-58894.527	keV
33	69	As	15.2	m	-1	-63112.181	keV
33	70	As	52.6	m	-1	-64333.973	keV
33	71	As	65.3	h	-1	-67893.257	keV
33	72	As	26	h	-1	-68229.808	keV
33	73	As	80.3	d	-1	-70952.757	keV
33	74	As	17.78	d	-1	-70860.064	keV
33	75	As	STABLE	ignore	100	-73034.203	keV
33	76	As	26.24	h	-1	-72291.384	keV
33	77	As	38.79	h	-1	-73916.334	keV
33	78	As	90.7	m	-1	-72816.97	keV
33	79	As	9.01	m	-1	-73636.081	keV
33	80	As	15.2	s	-1	-72214.601	keV
33	81	As	33.3	s	-1	-72533.314	keV
33	82	As	19.1	s	-1	-70105.427	keV
33	82	As	13.6	s	-1	-69973.827	keV
33	83	As	14.1	s	-1	-69669.331	keV
33	84	As	3.16	s	-1	-65853.568	keV
33	85	As	2.023	s	-1	-63189.152	keV
33	86	As	944	ms	-1	-58962.15	keV
33	87	As	484	ms	-1	-55617.914	keV
33	88	As	200	ms	-1	-50450	keV
33	89	As	ignore	ignore	-1	-46530	keV
33	90	As	ignore	ignore	-1	-40990	keV
33	91	As	ignore	ignore	-1	-36500	keV
33	92	As	ignore	ignore	-1	-30380	keV
34	63	Se	13.2	ms	-1	-16850	keV
34	64	Se	22.6	ms	-1	-26860	keV
34	65	Se	34.2	ms	-1	-33020	keV
34	66	Se	51	ms	-1	-41660	keV
34	67	Se	133	ms	-1	-46580.294	keV
34	68	Se	35.5	s	-1	-54189.449	keV
34	69	Se	27.4	s	-1	-56434.714	keV
34	70	Se	41.1	m	-1	-61929.9	keV
34	71	Se	4.78	m	-1	-63146.515	keV
34	72	Se	8.4	d	-1	-67868.189	keV
34	73	Se	7.18	h	-1	-68227.396	keV
34	73	Se	39.8	m	-1	-68201.686	keV
34	74	Se	STABLE	ignore	0.86	-72213.21	keV
34	75	Se	119.779	d	-1	-72169.489	keV
34	76	Se	STABLE	ignore	9.23	-75251.959	keV
34	77	Se	STABLE	ignore	7.6	-74599.497	keV
34	77	Se	17.38	s	-1	-74437.5747	keV
34	78	Se	STABLE	ignore	23.69	-77025.952	keV
34	79	Se	327333	y	-1	-75917.466	keV
34	79	Se	3.92	m	-1	-75821.696	keV
34	80	Se	STABLE	ignore	49.8	-77759.487	keV
34	81	Se	18.5	m	-1	-76389.019	keV
34	81	Se	57.28	m	-1	-76286.019	keV
34	82	Se	87667624445799090000	y	8.82	-77593.895	keV
34	83	Se	22.25	m	-1	-75340.543	keV
34	83	Se	70.2	s	-1	-75111.623	keV
34	84	Se	3.3	m	-1	-75947.731	keV
34	85	Se	32.9	s	-1	-72413.645	keV
34	86	Se	14.3	s	-1	-70503.175	keV
34	87	Se	5.51	s	-1	-66426.133	keV
34	88	Se	1.51	s	-1	-63884.203	keV
34	89	Se	0.41	s	-1	-58992.398	keV
34	90	Se	195	ms	-1	-55800.223	keV
34	91	Se	270	ms	-1	-50580.13	keV
34	92	Se	ignore	ignore	-1	-46724	keV
34	93	Se	ignore	ignore	-1	-40860	keV
34	94	Se	ignore	ignore	-1	-36803	keV
34	95	Se	ignore	ignore	-1	-30460	keV
35	68	Br	35	ns	-1	-38791	keV
35	69	Br	24	ns	-1	-46259.478	keV
35	70	Br	78.88	ms	-1	-51425.627	keV
35	70	Br	2.162	s	-1	-49133.327	keV
35	71	Br	21.4	s	-1	-56502.426	keV
35	72	Br	78.6	s	-1	-59061.75	keV
35	72	Br	10.3	s	-1	-58960.55	keV
35	73	Br	3.4	m	-1	-63645.787	keV
35	74	Br	25.4	m	-1	-65288.161	keV
35	74	Br	44	m	-1	-65274.581	keV
35	75	Br	96.7	m	-1	-69107.02	keV
35	76	Br	16.16	h	-1	-70289.078	keV
35	76	Br	1.4	s	-1	-70186.498	keV
35	77	Br	57.04	h	-1	-73234.818	keV
35	77	Br	4.25	m	-1	-73128.958	keV
35	78	Br	6.45	m	-1	-73452.168	keV
35	79	Br	STABLE	ignore	50.5 - 50.8	-76068.067	keV
35	79	Br	4.85	s	-1	-75860.457	keV
35	80	Br	17.68	m	-1	-75889.025	keV
35	80	Br	4.4204	h	-1	-75803.182	keV
35	81	Br	STABLE	ignore	49.2 - 49.5	-77977.051	keV
35	82	Br	35.284	h	-1	-77498.677	keV
35	82	Br	6.13	m	-1	-77452.7278	keV
35	83	Br	2.374	h	-1	-79013.721	keV
35	84	Br	31.76	m	-1	-77783.094	keV
35	84	Br	6	m	-1	-77463.094	keV
35	85	Br	2.94	m	-1	-78575.478	keV
35	86	Br	55.1	s	-1	-75632.261	keV
35	87	Br	55.68	s	-1	-73891.685	keV
35	88	Br	16.34	s	-1	-70715.967	keV
35	89	Br	4.348	s	-1	-68274.271	keV
35	90	Br	1.91	s	-1	-64000.306	keV
35	91	Br	544	ms	-1	-61107.301	keV
35	92	Br	344	ms	-1	-56232.812	keV
35	93	Br	152	ms	-1	-52890.235	keV
35	94	Br	70	ms	-1	-47650	keV
35	95	Br	ignore	ignore	-1	-43850	keV
35	96	Br	ignore	ignore	-1	-38210	keV
35	97	Br	ignore	ignore	-1	-34000	keV
35	98	Br	ignore	ignore	-1	-28050	keV
35	101	Br	ignore	ignore	-1	-1	ignore
36	67	Kr	7.4	ms	-1	-15552	keV
36	68	Kr	21.6	ms	-1	-25626	keV
36	69	Kr	27.9	ms	-1	-32140	keV
36	70	Kr	45.19	ms	-1	-41100	keV
36	71	Kr	95	ms	-1	-46327.211	keV
36	72	Kr	17.1	s	-1	-53940.582	keV
36	73	Kr	27.3	s	-1	-56551.758	keV
36	74	Kr	11.5	m	-1	-62331.844	keV
36	75	Kr	4.55	m	-1	-64323.632	keV
36	76	Kr	14.8	h	-1	-69013.706	keV
36	77	Kr	71.25	m	-1	-70169.451	keV
36	78	Kr	STABLE	ignore	0.355	-74178.283	keV
36	79	Kr	34.96	h	-1	-74442.29	keV
36	79	Kr	50	s	-1	-74312.52	keV
36	80	Kr	STABLE	ignore	2.286	-77893.455	keV
36	81	Kr	229000	y	-1	-77696.199	keV
36	81	Kr	13.21	s	-1	-77505.559	keV
36	82	Kr	STABLE	ignore	11.593	-80591.79509	keV
36	83	Kr	STABLE	ignore	11.5	-79990.643	keV
36	83	Kr	1.83	h	-1	-79949.0855	keV
36	84	Kr	STABLE	ignore	56.987	-82439.34527	keV
36	85	Kr	10.734598632234047	y	-1	-81480.341	keV
36	85	Kr	4.48	h	-1	-81175.47	keV
36	86	Kr	STABLE	ignore	17.279	-83265.67593	keV
36	87	Kr	76.09	m	-1	-80709.531	keV
36	88	Kr	2.803	h	-1	-79691.295	keV
36	89	Kr	3.147	m	-1	-76535.795	keV
36	90	Kr	32.32	s	-1	-74959.259	keV
36	91	Kr	8.57	s	-1	-70973.974	keV
36	92	Kr	1.841	s	-1	-68769.329	keV
36	93	Kr	1.284	s	-1	-64136.002	keV
36	94	Kr	212	ms	-1	-61347.78	keV
36	95	Kr	114	ms	-1	-56158.92	keV
36	96	Kr	80	ms	-1	-53081.682	keV
36	97	Kr	62	ms	-1	-47423.499	keV
36	98	Kr	43	ms	-1	-44120	keV
36	99	Kr	13	ms	-1	-38400	keV
36	100	Kr	7	ms	-1	-34470	keV
36	101	Kr	ignore	ignore	-1	-28580	keV
36	102	Kr	ignore	ignore	-1	-1	ignore
37	72	Rb	103	ns	-1	-38330	keV
37	73	Rb	81	ns	-1	-46011.611	keV
37	74	Rb	64.777	ms	-1	-51916.016	keV
37	75	Rb	19	s	-1	-57218.702	keV
37	76	Rb	36.5	s	-1	-60479.089	keV
37	77	Rb	3.78	m	-1	-64830.5	keV
37	78	Rb	17.66	m	-1	-66935.427	keV
37	78	Rb	5.75	m	-1	-66824.237	keV
37	79	Rb	22.8	m	-1	-70802.778	keV
37	80	Rb	33.4	s	-1	-72175.476	keV
37	81	Rb	4.571	h	-1	-75456.704	keV
37	81	Rb	30.41	m	-1	-75370.394	keV
37	82	Rb	1.2577	m	-1	-76187.813	keV
37	82	Rb	6.472	h	-1	-76118.813	keV
37	83	Rb	86.2	d	-1	-79070.639	keV
37	84	Rb	32.82	d	-1	-79758.975	keV
37	84	Rb	20.26	m	-1	-79295.359	keV
37	85	Rb	STABLE	ignore	72.17	-82167.34065	keV
37	86	Rb	18.671	d	-1	-82747.003	keV
37	86	Rb	1.017	m	-1	-82190.953	keV
37	87	Rb	49670000000	y	27.83	-84597.802	keV
37	88	Rb	17.775	m	-1	-82609.004	keV
37	89	Rb	15.39	m	-1	-81712.399	keV
37	90	Rb	158	s	-1	-79365.573	keV
37	90	Rb	258	s	-1	-79258.673	keV
37	91	Rb	58	s	-1	-77745.049	keV
37	92	Rb	4.48	s	-1	-74772.45	keV
37	93	Rb	5.85	s	-1	-72619.9	keV
37	94	Rb	2.704	s	-1	-68562.791	keV
37	95	Rb	379.9	ms	-1	-65890.307	keV
37	96	Rb	201.6	ms	-1	-61354.351	keV
37	97	Rb	169.1	ms	-1	-58519.145	keV
37	98	Rb	115	ms	-1	-54369.152	keV
37	98	Rb	96	ms	-1	-54299.152	keV
37	99	Rb	53.8	ms	-1	-51121.15	keV
37	100	Rb	52	ms	-1	-46265.884	keV
37	101	Rb	32	ms	-1	-42567.417	keV
37	102	Rb	37	ms	-1	-37252.312	keV
37	103	Rb	23	ms	-1	-33160	keV
37	104	Rb	ignore	ignore	-1	-27450	keV
37	105	Rb	ignore	ignore	-1	-1	ignore
37	106	Rb	ignore	ignore	-1	-1	ignore
38	73	Sr	23.3	ms	-1	-31950	keV
38	74	Sr	27.6	ms	-1	-40827	keV
38	75	Sr	85.2	ms	-1	-46618.702	keV
38	76	Sr	7.89	s	-1	-54247.645	keV
38	77	Sr	9	s	-1	-57803.443	keV
38	78	Sr	156	s	-1	-63173.949	keV
38	79	Sr	2.23	m	-1	-65479.664	keV
38	80	Sr	106.3	m	-1	-70311.467	keV
38	81	Sr	22.29	m	-1	-71528.134	keV
38	82	Sr	25.35	d	-1	-76010.062	keV
38	83	Sr	32.41	h	-1	-76797.616	keV
38	83	Sr	4.95	s	-1	-76538.466	keV
38	84	Sr	STABLE	ignore	0.56	-80649.58	keV
38	85	Sr	64.849	d	-1	-81103.29	keV
38	85	Sr	67.63	m	-1	-80864.5	keV
38	86	Sr	STABLE	ignore	9.86	-84523.09977	keV
38	87	Sr	STABLE	ignore	7	-84880.07643	keV
38	87	Sr	2.815	h	-1	-84491.54773	keV
38	88	Sr	STABLE	ignore	82.58	-87921.62876	keV
38	89	Sr	50.56	d	-1	-86209.026	keV
38	90	Sr	28.90525762153836	y	-1	-85950.945	keV
38	91	Sr	9.68	h	-1	-83651.95	keV
38	92	Sr	2.61	h	-1	-82867.371	keV
38	93	Sr	7.43	m	-1	-80085.844	keV
38	94	Sr	75.3	s	-1	-78845.721	keV
38	95	Sr	23.9	s	-1	-75117.284	keV
38	96	Sr	1.065	s	-1	-72918.248	keV
38	97	Sr	431	ms	-1	-68580.674	keV
38	98	Sr	653	ms	-1	-66422.389	keV
38	99	Sr	269	ms	-1	-62518.527	keV
38	100	Sr	201	ms	-1	-59817.505	keV
38	101	Sr	114	ms	-1	-55324.914	keV
38	102	Sr	72	ms	-1	-52159.311	keV
38	103	Sr	56	ms	-1	-47280	keV
38	104	Sr	51	ms	-1	-43760	keV
38	105	Sr	39	ms	-1	-38190	keV
38	106	Sr	20	ms	-1	-34300	keV
38	107	Sr	ignore	ignore	-1	-28250	keV
38	108	Sr	ignore	ignore	-1	-1	ignore
39	76	Y	24	ms	-1	-38250	keV
39	77	Y	57	ms	-1	-46439	keV
39	78	Y	50	ms	-1	-52173	keV
39	78	Y	5.8	s	-1	-52173	keV
39	79	Y	14.8	s	-1	-57802.935	keV
39	80	Y	30.1	s	-1	-61148.162	keV
39	80	Y	4.8	s	-1	-60919.662	keV
39	81	Y	70.4	s	-1	-65712.919	keV
39	82	Y	8.3	s	-1	-68064.097	keV
39	83	Y	7.08	m	-1	-72205.672	keV
39	83	Y	2.85	m	-1	-72143.632	keV
39	84	Y	40.1	m	-1	-73894.439	keV
39	84	Y	4.6	s	-1	-73827.439	keV
39	85	Y	2.67	h	-1	-77842.131	keV
39	85	Y	4.9	h	-1	-77822.451	keV
39	86	Y	14.74	h	-1	-79283.1	keV
39	86	Y	47.4	m	-1	-79064.89	keV
39	87	Y	79.89	h	-1	-83018.387	keV
39	87	Y	13.38	h	-1	-82637.567	keV
39	88	Y	106.626	d	-1	-84299.029	keV
39	89	Y	STABLE	ignore	100	-87711.202	keV
39	89	Y	15.663	s	-1	-86802.232	keV
39	90	Y	64.046	h	-1	-86496.912	keV
39	90	Y	3.232	h	-1	-85814.902	keV
39	91	Y	58.56	d	-1	-86351.321	keV
39	91	Y	49.72	m	-1	-85795.741	keV
39	92	Y	3.54	h	-1	-84816.494	keV
39	93	Y	10.17	h	-1	-84227.155	keV
39	93	Y	0.82	s	-1	-83468.436	keV
39	94	Y	18.7	m	-1	-82351.473	keV
39	95	Y	10.4	m	-1	-81207.937	keV
39	96	Y	5.35	s	-1	-78329.986	keV
39	96	Y	9.7	s	-1	-76789.486	keV
39	97	Y	3.75	s	-1	-76115.455	keV
39	97	Y	1.17	s	-1	-75447.935	keV
39	97	Y	142	ms	-1	-72592.855	keV
39	98	Y	548	ms	-1	-72288.748	keV
39	98	Y	2.32	s	-1	-71823.048	keV
39	99	Y	1.483	s	-1	-70643.73	keV
39	100	Y	729	ms	-1	-67321.241	keV
39	100	Y	0.94	s	-1	-67176.241	keV
39	101	Y	429	ms	-1	-65054.787	keV
39	102	Y	396	ms	-1	-61172.641	keV
39	102	Y	300	ms	-1	-61172.641	keV
39	103	Y	236	ms	-1	-58457.034	keV
39	104	Y	197	ms	-1	-54080	keV
39	105	Y	107	ms	-1	-50570	keV
39	106	Y	81	ms	-1	-45790	keV
39	107	Y	33.5	ms	-1	-41970	keV
39	108	Y	30	ms	-1	-36780	keV
39	109	Y	25	ms	-1	-32480	keV
39	110	Y	ignore	ignore	-1	-1	ignore
39	111	Y	ignore	ignore	-1	-1	ignore
40	77	Zr	ignore	ignore	-1	-31600	keV
40	78	Zr	ignore	ignore	-1	-40850	keV
40	79	Zr	56	ms	-1	-46770	keV
40	80	Zr	4.6	s	-1	-54760	keV
40	81	Zr	5	s	-1	-57524.418	keV
40	82	Zr	32	s	-1	-63614.063	keV
40	83	Zr	41.5	s	-1	-65911.659	keV
40	84	Zr	26	m	-1	-71421.692	keV
40	85	Zr	7.86	m	-1	-73175.196	keV
40	85	Zr	10.9	s	-1	-72882.996	keV
40	86	Zr	16.5	h	-1	-77969.023	keV
40	87	Zr	1.68	h	-1	-79347.147	keV
40	87	Zr	14	s	-1	-79011.307	keV
40	88	Zr	83.4	d	-1	-83628.874	keV
40	89	Zr	78.364	h	-1	-84877.974	keV
40	89	Zr	4.161	m	-1	-84290.154	keV
40	90	Zr	STABLE	ignore	51.45	-88772.547	keV
40	90	Zr	809.2	ms	-1	-86453.547	keV
40	91	Zr	STABLE	ignore	11.22	-87895.592	keV
40	92	Zr	STABLE	ignore	17.15	-88459.024	keV
40	93	Zr	1610882	y	-1	-87122.028	keV
40	94	Zr	STABLE	ignore	17.38	-87269.332	keV
40	95	Zr	64.032	d	-1	-85659.94	keV
40	96	Zr	22948103245991400000	y	2.8	-85438.86	keV
40	97	Zr	16.749	h	-1	-82936.693	keV
40	98	Zr	30.7	s	-1	-81281.757	keV
40	99	Zr	2.1	s	-1	-77616.67	keV
40	100	Zr	7.1	s	-1	-76372.736	keV
40	101	Zr	2.32	s	-1	-73160.987	keV
40	102	Zr	2.01	s	-1	-71581.427	keV
40	103	Zr	1.38	s	-1	-67808.993	keV
40	104	Zr	922	ms	-1	-65717.66	keV
40	105	Zr	670	ms	-1	-61458.274	keV
40	106	Zr	178	ms	-1	-58749	keV
40	107	Zr	146	ms	-1	-54020	keV
40	108	Zr	77.4	ms	-1	-50950	keV
40	109	Zr	56	ms	-1	-45730	keV
40	110	Zr	37.6	ms	-1	-42220	keV
40	111	Zr	24	ms	-1	-36480	keV
40	112	Zr	30	ms	-1	-32420	keV
40	113	Zr	ignore	ignore	-1	-26340	keV
41	81	Nb	40	ns	-1	-46360	keV
41	82	Nb	50	ms	-1	-51810	keV
41	83	Nb	3.9	s	-1	-57612.91	keV
41	84	Nb	9.8	s	-1	-61193.842	keV
41	85	Nb	20.5	s	-1	-66279.684	keV
41	85	Nb	3.3	s	-1	-66279.684	keV
41	86	Nb	88	s	-1	-69134.061	keV
41	87	Nb	3.7	m	-1	-73874.493	keV
41	87	Nb	2.6	m	-1	-73870.593	keV
41	88	Nb	14.5	m	-1	-76171.555	keV
41	88	Nb	7.7	m	-1	-76171.555	keV
41	89	Nb	2.03	h	-1	-80625.755	keV
41	89	Nb	66	m	-1	-80610.755	keV
41	90	Nb	14.6	h	-1	-82661.531	keV
41	90	Nb	18.91	s	-1	-82536.861	keV
41	91	Nb	680	y	-1	-86638.028	keV
41	91	Nb	60.86	d	-1	-86533.428	keV
41	92	Nb	34708075	y	-1	-86453.29	keV
41	92	Nb	10.12	d	-1	-86317.79	keV
41	93	Nb	STABLE	ignore	100	-87212.84	keV
41	93	Nb	16.12	y	-1	-87182.08	keV
41	94	Nb	20381	y	-1	-86369.063	keV
41	94	Nb	6.263	m	-1	-86328.171	keV
41	95	Nb	34.991	d	-1	-86786.272	keV
41	95	Nb	3.61	d	-1	-86550.582	keV
41	96	Nb	23.35	h	-1	-85602.83	keV
41	97	Nb	72.1	m	-1	-85602.797	keV
41	97	Nb	58.7	s	-1	-84859.447	keV
41	98	Nb	2.86	s	-1	-83524.612	keV
41	98	Nb	51.1	m	-1	-83440.612	keV
41	99	Nb	15	s	-1	-82335.344	keV
41	99	Nb	2.5	m	-1	-81970.074	keV
41	100	Nb	1.4	s	-1	-79791.246	keV
41	100	Nb	2.99	s	-1	-79477.246	keV
41	101	Nb	7.2	s	-1	-78891.488	keV
41	102	Nb	4.3	s	-1	-76298.265	keV
41	102	Nb	1.31	s	-1	-76205.265	keV
41	103	Nb	1.36	s	-1	-75028.667	keV
41	104	Nb	4.9	s	-1	-71810.997	keV
41	104	Nb	0.98	s	-1	-71595.997	keV
41	105	Nb	2.92	s	-1	-69915.547	keV
41	106	Nb	1.097	s	-1	-66202.678	keV
41	107	Nb	287	ms	-1	-63723.805	keV
41	108	Nb	194	ms	-1	-59545.198	keV
41	109	Nb	107	ms	-1	-56689.8	keV
41	110	Nb	75	ms	-1	-52309.914	keV
41	110	Nb	94	ms	-1	-52309.914	keV
41	111	Nb	54	ms	-1	-48960	keV
41	112	Nb	38	ms	-1	-44070	keV
41	113	Nb	32	ms	-1	-40210	keV
41	114	Nb	17	ms	-1	-34960	keV
41	115	Nb	23	ms	-1	-30880	keV
41	116	Nb	ignore	ignore	-1	-25230	keV
41	117	Nb	ignore	ignore	-1	-1	ignore
42	81	Mo	ignore	ignore	-1	-31460	keV
42	82	Mo	ignore	ignore	-1	-40370	keV
42	83	Mo	6	ms	-1	-46340	keV
42	84	Mo	2.3	s	-1	-54170	keV
42	85	Mo	3.2	s	-1	-57509.76	keV
42	86	Mo	19.1	s	-1	-64110.927	keV
42	87	Mo	14.1	s	-1	-66884.817	keV
42	87	Mo	ignore	ignore	-1	-66574.817	keV
42	88	Mo	8	m	-1	-72686.553	keV
42	89	Mo	2.04	m	-1	-75014.944	keV
42	89	Mo	190	ms	-1	-74627.444	keV
42	90	Mo	5.56	h	-1	-80172.514	keV
42	91	Mo	15.49	m	-1	-82208.834	keV
42	91	Mo	65	s	-1	-81555.824	keV
42	92	Mo	STABLE	ignore	14.649	-86808.587	keV
42	93	Mo	4000	y	-1	-86807.079	keV
42	93	Mo	6.85	h	-1	-84382.129	keV
42	94	Mo	STABLE	ignore	9.187	-88414.079	keV
42	95	Mo	STABLE	ignore	15.873	-87711.872	keV
42	96	Mo	STABLE	ignore	16.673	-88794.889	keV
42	97	Mo	STABLE	ignore	9.582	-87544.7	keV
42	98	Mo	STABLE	ignore	24.292	-88115.98	keV
42	99	Mo	65.936	h	-1	-85970.106	keV
42	100	Mo	7066465914278988000	y	9.744	-86193.029	keV
42	101	Mo	14.61	m	-1	-83519.952	keV
42	102	Mo	11.3	m	-1	-83560.866	keV
42	103	Mo	67.5	s	-1	-80954.331	keV
42	104	Mo	59.4	s	-1	-80343.748	keV
42	105	Mo	36.3	s	-1	-77330.788	keV
42	106	Mo	8.73	s	-1	-76128.003	keV
42	107	Mo	3.5	s	-1	-72544.975	keV
42	108	Mo	1.106	s	-1	-70749.297	keV
42	109	Mo	700	ms	-1	-66659.285	keV
42	110	Mo	287	ms	-1	-64535.814	keV
42	111	Mo	186	ms	-1	-59939.813	keV
42	111	Mo	200	ms	-1	-59939.813	keV
42	112	Mo	125	ms	-1	-57480	keV
42	113	Mo	80	ms	-1	-52650	keV
42	114	Mo	58	ms	-1	-49680	keV
42	115	Mo	45.6	ms	-1	-44550	keV
42	116	Mo	32	ms	-1	-41210	keV
42	117	Mo	22	ms	-1	-35689	keV
42	118	Mo	19	ms	-1	-32370	keV
42	119	Mo	ignore	ignore	-1	-26580	keV
43	85	Tc	100	ns	-1	-45850	keV
43	86	Tc	55	ms	-1	-51570	keV
43	87	Tc	2.1	s	-1	-57690.052	keV
43	88	Tc	6.4	s	-1	-61670.301	keV
43	88	Tc	5.8	s	-1	-61599.901	keV
43	89	Tc	12.8	s	-1	-67394.857	keV
43	89	Tc	12.9	s	-1	-67332.257	keV
43	90	Tc	49.2	s	-1	-70724.696	keV
43	90	Tc	8.7	s	-1	-70580.596	keV
43	91	Tc	3.14	m	-1	-75986.657	keV
43	91	Tc	3.3	m	-1	-75847.357	keV
43	92	Tc	4.23	m	-1	-78925.703	keV
43	93	Tc	2.78	h	-1	-83606.116	keV
43	93	Tc	43.4	m	-1	-83214.276	keV
43	94	Tc	293	m	-1	-84158.332	keV
43	94	Tc	51	m	-1	-84082.332	keV
43	95	Tc	19.258	h	-1	-86021.355	keV
43	95	Tc	61.94	d	-1	-85982.445	keV
43	96	Tc	4.27	d	-1	-85821.648	keV
43	96	Tc	51.6	m	-1	-85787.418	keV
43	97	Tc	4210000	y	-1	-87224.436	keV
43	97	Tc	91	d	-1	-87127.866	keV
43	98	Tc	4200000	y	-1	-86432.214	keV
43	99	Tc	211100	y	-1	-87327.869	keV
43	99	Tc	6.0073	h	-1	-87185.1854	keV
43	100	Tc	15.65	s	-1	-86020.951	keV
43	101	Tc	14.123	m	-1	-86344.593	keV
43	102	Tc	5.28	s	-1	-84572.921	keV
43	102	Tc	4.35	m	-1	-84572.921	keV
43	103	Tc	54.2	s	-1	-84603.92	keV
43	104	Tc	18.2	m	-1	-82498.969	keV
43	105	Tc	7.64	m	-1	-82286.303	keV
43	106	Tc	35.7	s	-1	-79776.253	keV
43	107	Tc	21.2	s	-1	-78749.967	keV
43	108	Tc	5.15	s	-1	-75922.831	keV
43	109	Tc	0.88	s	-1	-74282.828	keV
43	110	Tc	0.911	s	-1	-71034.564	keV
43	111	Tc	350	ms	-1	-69024.675	keV
43	112	Tc	323	ms	-1	-65258.932	keV
43	113	Tc	152	ms	-1	-62811.549	keV
43	114	Tc	118	ms	-1	-58600.294	keV
43	114	Tc	90	ms	-1	-58600.294	keV
43	115	Tc	78	ms	-1	-55796	keV
43	116	Tc	57	ms	-1	-51214	keV
43	117	Tc	44.5	ms	-1	-48140	keV
43	118	Tc	30	ms	-1	-43290	keV
43	119	Tc	22	ms	-1	-40170	keV
43	120	Tc	21	ms	-1	-35000	keV
43	121	Tc	22	ms	-1	-31540	keV
43	122	Tc	ignore	ignore	-1	-26305	keV
44	85	Ru	ignore	ignore	-1	-30630	keV
44	86	Ru	ignore	ignore	-1	-39770	keV
44	87	Ru	ignore	ignore	-1	-45730	keV
44	88	Ru	1.4	s	-1	-54340	keV
44	89	Ru	1.33	s	-1	-58369.424	keV
44	90	Ru	11.7	s	-1	-64883.801	keV
44	91	Ru	8	s	-1	-68239.833	keV
44	91	Ru	7.6	s	-1	-67807.833	keV
44	92	Ru	3.65	m	-1	-74301.211	keV
44	93	Ru	59.7	s	-1	-77216.723	keV
44	93	Ru	10.8	s	-1	-76482.323	keV
44	94	Ru	52.1	m	-1	-82583.602	keV
44	95	Ru	1.6073	h	-1	-83457.759	keV
44	96	Ru	STABLE	ignore	5.54	-86080.385	keV
44	97	Ru	2.8376	d	-1	-86120.564	keV
44	98	Ru	STABLE	ignore	1.87	-88224.871	keV
44	99	Ru	STABLE	ignore	12.76	-87625.385	keV
44	100	Ru	STABLE	ignore	12.6	-89227.391	keV
44	101	Ru	STABLE	ignore	17.06	-87958.113	keV
44	102	Ru	STABLE	ignore	31.55	-89106.435	keV
44	103	Ru	39.247	d	-1	-87267.168	keV
44	104	Ru	STABLE	ignore	18.62	-88095.763	keV
44	105	Ru	4.44	h	-1	-85934.543	keV
44	106	Ru	371.8	d	-1	-86323.253	keV
44	107	Ru	3.73	m	-1	-83862.565	keV
44	108	Ru	4.55	m	-1	-83661.404	keV
44	109	Ru	34.4	s	-1	-80738.455	keV
44	110	Ru	12.04	s	-1	-80072.629	keV
44	111	Ru	2.12	s	-1	-76785.325	keV
44	112	Ru	1.75	s	-1	-75630.873	keV
44	113	Ru	0.8	s	-1	-71867.816	keV
44	113	Ru	510	ms	-1	-71737.816	keV
44	114	Ru	543	ms	-1	-70221.213	keV
44	115	Ru	318	ms	-1	-66105.296	keV
44	116	Ru	203	ms	-1	-64068.917	keV
44	117	Ru	152	ms	-1	-59489.871	keV
44	118	Ru	99	ms	-1	-57000	keV
44	119	Ru	69.2	ms	-1	-52080	keV
44	120	Ru	45	ms	-1	-49720	keV
44	121	Ru	30	ms	-1	-44620	keV
44	122	Ru	25	ms	-1	-41780	keV
44	123	Ru	19	ms	-1	-36550	keV
44	124	Ru	15	ms	-1	-33590	keV
44	125	Ru	ignore	ignore	-1	-28370	keV
45	89	Rh	120	ns	-1	-45651	keV
45	90	Rh	29	ms	-1	-51634	keV
45	90	Rh	560	ms	-1	-51634	keV
45	91	Rh	1.47	s	-1	-58570	keV
45	91	Rh	1.5	s	-1	-58397.1	keV
45	92	Rh	5.64	s	-1	-62999.095	keV
45	92	Rh	3.18	s	-1	-62999.095	keV
45	93	Rh	12.2	s	-1	-69011.81	keV
45	93	Rh	ignore	ignore	-1	-68744.81	keV
45	94	Rh	70.6	s	-1	-72907.623	keV
45	94	Rh	25.8	s	-1	-72907.623	keV
45	95	Rh	5.02	m	-1	-78340.616	keV
45	95	Rh	1.96	m	-1	-77797.316	keV
45	96	Rh	9.57	m	-1	-79687.732	keV
