angle,xsec,integral
0.209638,290.600000,3068002.100000
0.210745,292.500000,3068294.600000
0.211853,294.200000,3068588.800000
0.212960,295.800000,3068884.600000
0.214068,297.300000,3069181.900000
0.215175,298.600000,3069480.500000
0.216283,299.800000,3069780.300000
0.217391,300.800000,3070081.100000
0.218499,301.600000,3070382.700000
0.219606,302.200000,3070684.900000
0.220714,302.600000,3070987.500000
0.221822,302.800000,3071290.300000
0.222931,302.800000,3071593.100000
0.224039,302.500000,3071895.600000
0.225147,302.000000,3072197.600000
0.226255,301.300000,3072498.900000
0.227364,300.400000,3072799.300000
0.228472,299.200000,3073098.500000
0.229581,297.800000,3073396.300000
0.230689,296.100000,3073692.400000
0.231798,294.300000,3073986.700000
0.232907,292.200000,3074278.900000
0.234015,289.900000,3074568.800000
0.235124,287.300000,3074856.100000
0.236233,284.600000,3075140.700000
0.237342,281.600000,3075422.300000
0.238451,278.500000,3075700.800000
0.239560,275.200000,3075976.000000
0.240670,271.700000,3076247.700000
0.241779,268.000000,3076515.700000
0.242888,264.100000,3076779.800000
0.243998,260.100000,3077039.900000
0.245107,255.900000,3077295.800000
0.246217,251.600000,3077547.400000
0.247327,247.200000,3077794.600000
0.248436,242.600000,3078037.200000
0.249546,237.900000,3078275.100000
0.250656,233.200000,3078508.300000
0.251766,228.300000,3078736.600000
0.252876,223.300000,3078959.900000
0.253986,218.300000,3079178.200000
0.255096,213.100000,3079391.300000
0.256207,208.000000,3079599.300000
0.257317,202.700000,3079802.000000
0.258428,197.500000,3079999.500000
0.259538,192.200000,3080191.700000
0.260649,186.800000,3080378.500000
0.261759,181.500000,3080560.000000
0.262870,176.200000,3080736.200000
0.263981,170.800000,3080907.000000
0.265092,165.500000,3081072.500000
0.266203,160.200000,3081232.700000
0.267314,154.900000,3081387.600000
0.268425,149.600000,3081537.200000
0.269537,144.400000,3081681.600000
0.270648,139.200000,3081820.800000
0.271759,134.100000,3081954.900000
0.272871,129.000000,3082083.900000
0.273982,124.000000,3082207.900000
0.275094,119.100000,3082327.000000
0.276206,114.200000,3082441.200000
0.277318,109.400000,3082550.600000
0.278430,104.700000,3082655.300000
0.279542,100.100000,3082755.400000
0.280654,95.590000,3082850.990000
0.281766,91.170000,3082942.160000
0.282878,86.850000,3083029.010000
0.283991,82.630000,3083111.640000
0.285103,78.510000,3083190.150000
0.286216,74.510000,3083264.660000
0.287328,70.610000,3083335.270000
0.288441,66.830000,3083402.100000
0.289554,63.160000,3083465.260000
0.290667,59.610000,3083524.870000
0.291780,56.180000,3083581.050000
0.292893,52.860000,3083633.910000
0.294006,49.660000,3083683.570000
0.295120,46.590000,3083730.160000
0.296233,43.630000,3083773.790000
0.297346,40.790000,3083814.580000
0.298460,38.070000,3083852.650000
0.299574,35.470000,3083888.120000
0.300687,32.990000,3083921.110000
0.301801,30.620000,3083951.730000
0.302915,28.380000,3083980.110000
0.304029,26.240000,3084006.350000
0.305143,24.220000,3084030.570000
0.306258,22.320000,3084052.890000
0.307372,20.520000,3084073.410000
0.308486,18.830000,3084092.240000
0.309601,17.250000,3084109.490000
0.310716,15.780000,3084125.270000
0.311830,14.410000,3084139.680000
0.312945,13.130000,3084152.810000
0.314060,11.960000,3084164.770000
0.315175,10.880000,3084175.650000
0.316290,9.894000,3084185.544000
0.317405,8.997000,3084194.541000
0.318521,8.188000,3084202.729000
0.319636,7.463000,3084210.192000
0.320752,6.820000,3084217.012000
0.321867,6.255000,3084223.267000
0.322983,5.766000,3084229.033000
0.324099,5.350000,3084234.383000
0.325215,5.004000,3084239.387000
0.326331,4.724000,3084244.111000
0.327447,4.509000,3084248.620000
0.328563,4.353000,3084252.973000
0.329679,4.256000,3084257.229000
0.330796,4.213000,3084261.442000
0.331912,4.222000,3084265.664000
0.333029,4.279000,3084269.943000
0.334146,4.382000,3084274.325000
0.335263,4.528000,3084278.853000
0.336380,4.714000,3084283.567000
0.337497,4.936000,3084288.503000
0.338614,5.193000,3084293.696000
0.339731,5.481000,3084299.177000
0.340849,5.798000,3084304.975000
0.341966,6.141000,3084311.116000
0.343084,6.508000,3084317.624000
0.344202,6.895000,3084324.519000
0.345319,7.301000,3084331.820000
0.346437,7.722000,3084339.542000
0.347555,8.158000,3084347.700000
0.348674,8.605000,3084356.305000
0.349792,9.061000,3084365.366000
0.350910,9.524000,3084374.890000
0.352029,9.992000,3084384.882000
0.353147,10.460000,3084395.342000
0.354266,10.940000,3084406.282000
0.355385,11.410000,3084417.692000
0.356504,11.880000,3084429.572000
0.357623,12.340000,3084441.912000
0.358742,12.800000,3084454.712000
0.359862,13.260000,3084467.972000
0.360981,13.700000,3084481.672000
0.362101,14.140000,3084495.812000
0.363220,14.560000,3084510.372000
0.364340,14.970000,3084525.342000
0.365460,15.370000,3084540.712000
0.366580,15.750000,3084556.462000
0.367700,16.120000,3084572.582000
0.368820,16.480000,3084589.062000
0.369941,16.810000,3084605.872000
0.371061,17.130000,3084623.002000
0.372182,17.430000,3084640.432000
0.373303,17.720000,3084658.152000
0.374423,17.980000,3084676.132000
0.375544,18.220000,3084694.352000
0.376666,18.450000,3084712.802000
0.377787,18.650000,3084731.452000
0.378908,18.830000,3084750.282000
0.380030,18.990000,3084769.272000
0.381151,19.140000,3084788.412000
0.382273,19.260000,3084807.672000
0.383395,19.360000,3084827.032000
0.384517,19.440000,3084846.472000
0.385639,19.500000,3084865.972000
0.386761,19.540000,3084885.512000
0.387883,19.550000,3084905.062000
0.389006,19.550000,3084924.612000
0.390129,19.530000,3084944.142000
0.391251,19.490000,3084963.632000
0.392374,19.430000,3084983.062000
0.393497,19.360000,3085002.422000
0.394620,19.260000,3085021.682000
0.395744,19.150000,3085040.832000
0.396867,19.010000,3085059.842000
0.397990,18.870000,3085078.712000
0.399114,18.700000,3085097.412000
0.400238,18.520000,3085115.932000
0.401362,18.330000,3085134.262000
0.402486,18.120000,3085152.382000
0.403610,17.900000,3085170.282000
0.404734,17.660000,3085187.942000
0.405859,17.420000,3085205.362000
0.406983,17.160000,3085222.522000
0.408108,16.880000,3085239.402000
0.409233,16.600000,3085256.002000
0.410358,16.310000,3085272.312000
0.411483,16.010000,3085288.322000
0.412608,15.700000,3085304.022000
0.413734,15.380000,3085319.402000
0.414859,15.060000,3085334.462000
0.415985,14.730000,3085349.192000
0.417111,14.390000,3085363.582000
0.418237,14.050000,3085377.632000
0.419363,13.700000,3085391.332000
0.420489,13.350000,3085404.682000
0.421615,13.000000,3085417.682000
0.422742,12.640000,3085430.322000
0.423868,12.280000,3085442.602000
0.424995,11.920000,3085454.522000
0.426122,11.560000,3085466.082000
0.427249,11.200000,3085477.282000
0.428376,10.840000,3085488.122000
0.429504,10.480000,3085498.602000
0.430631,10.120000,3085508.722000
0.431759,9.762000,3085518.484000
0.432887,9.407000,3085527.891000
0.434015,9.054000,3085536.945000
0.435143,8.705000,3085545.650000
0.436271,8.360000,3085554.010000
0.437399,8.019000,3085562.029000
0.438528,7.682000,3085569.711000
0.439657,7.350000,3085577.061000
0.440785,7.024000,3085584.085000
0.441914,6.702000,3085590.787000
0.443044,6.387000,3085597.174000
0.444173,6.078000,3085603.252000
0.445302,5.775000,3085609.027000
0.446432,5.480000,3085614.507000
0.447562,5.191000,3085619.698000
0.448691,4.909000,3085624.607000
0.449821,4.634000,3085629.241000
0.450952,4.368000,3085633.609000
0.452082,4.108000,3085637.717000
0.453212,3.857000,3085641.574000
0.454343,3.614000,3085645.188000
0.455474,3.379000,3085648.567000
0.456605,3.152000,3085651.719000
0.457736,2.933000,3085654.652000
0.458867,2.723000,3085657.375000
0.459999,2.521000,3085659.896000
0.461130,2.327000,3085662.223000
0.462262,2.142000,3085664.365000
0.463394,1.965000,3085666.330000
0.464526,1.797000,3085668.127000
0.465658,1.637000,3085669.764000
0.466791,1.485000,3085671.249000
0.467923,1.341000,3085672.590000
0.469056,1.206000,3085673.796000
0.470189,1.079000,3085674.875000
0.471322,0.959500,3085675.834500
0.472455,0.848000,3085676.682500
0.473588,0.744400,3085677.426900
0.474722,0.648300,3085678.075200
0.475855,0.559800,3085678.635000
0.476989,0.478500,3085679.113500
0.478123,0.404500,3085679.518000
0.479257,0.337500,3085679.855500
0.480392,0.277400,3085680.132900
0.481526,0.223900,3085680.356800
0.482661,0.177000,3085680.533800
0.483796,0.136300,3085680.670100
0.484931,0.101800,3085680.771900
0.486066,0.073210,3085680.845110
0.487201,0.050340,3085680.895450
0.488337,0.032990,3085680.928440
0.489472,0.020950,3085680.949390
0.490608,0.014010,3085680.963400
0.491744,0.011970,3085680.975370
0.492881,0.014600,3085680.989970
0.494017,0.021700,3085681.011670
0.495153,0.033040,3085681.044710
0.496290,0.048420,3085681.093130
0.497427,0.067620,3085681.160750
0.498564,0.090420,3085681.251170
0.499701,0.116600,3085681.367770
0.500839,0.146000,3085681.513770
0.501976,0.178300,3085681.692070
0.503114,0.213400,3085681.905470
0.504252,0.251000,3085682.156470
0.505390,0.291000,3085682.447470
0.506529,0.333100,3085682.780570
0.507667,0.377200,3085683.157770
0.508806,0.423000,3085683.580770
0.509945,0.470400,3085684.051170
0.511084,0.519100,3085684.570270
0.512223,0.569100,3085685.139370
0.513362,0.620000,3085685.759370
0.514502,0.671800,3085686.431170
0.515641,0.724200,3085687.155370
0.516781,0.777100,3085687.932470
0.517922,0.830400,3085688.762870
0.519062,0.883800,3085689.646670
0.520202,0.937300,3085690.583970
0.521343,0.990600,3085691.574570
0.522484,1.044000,3085692.618570
0.523625,1.096000,3085693.714570
0.524766,1.149000,3085694.863570
0.525908,1.200000,3085696.063570
0.527049,1.251000,3085697.314570
0.528191,1.301000,3085698.615570
0.529333,1.350000,3085699.965570
0.530475,1.397000,3085701.362570
0.531618,1.444000,3085702.806570
0.532760,1.489000,3085704.295570
0.533903,1.533000,3085705.828570
0.535046,1.576000,3085707.404570
0.536189,1.617000,3085709.021570
0.537332,1.656000,3085710.677570
0.538476,1.694000,3085712.371570
0.539620,1.730000,3085714.101570
0.540763,1.765000,3085715.866570
0.541908,1.797000,3085717.663570
0.543052,1.828000,3085719.491570
0.544196,1.857000,3085721.348570
0.545341,1.884000,3085723.232570
0.546486,1.909000,3085725.141570
0.547631,1.932000,3085727.073570
0.548776,1.953000,3085729.026570
0.549922,1.972000,3085730.998570
0.551068,1.989000,3085732.987570
0.552213,2.005000,3085734.992570
0.553360,2.018000,3085737.010570
0.554506,2.029000,3085739.039570
0.555652,2.038000,3085741.077570
0.556799,2.045000,3085743.122570
0.557946,2.051000,3085745.173570
0.559093,2.054000,3085747.227570
0.560240,2.056000,3085749.283570
0.561388,2.055000,3085751.338570
0.562536,2.053000,3085753.391570
0.563684,2.049000,3085755.440570
0.564832,2.043000,3085757.483570
0.565980,2.035000,3085759.518570
0.567129,2.026000,3085761.544570
0.568278,2.015000,3085763.559570
0.569427,2.002000,3085765.561570
0.570576,1.988000,3085767.549570
0.571725,1.972000,3085769.521570
0.572875,1.955000,3085771.476570
0.574025,1.936000,3085773.412570
0.575175,1.916000,3085775.328570
0.576325,1.894000,3085777.222570
0.577475,1.871000,3085779.093570
0.578626,1.848000,3085780.941570
0.579777,1.822000,3085782.763570
0.580928,1.796000,3085784.559570
0.582080,1.769000,3085786.328570
0.583231,1.741000,3085788.069570
0.584383,1.711000,3085789.780570
0.585535,1.681000,3085791.461570
0.586687,1.650000,3085793.111570
0.587840,1.619000,3085794.730570
0.588992,1.586000,3085796.316570
0.590145,1.554000,3085797.870570
0.591298,1.520000,3085799.390570
0.592452,1.486000,3085800.876570
0.593605,1.451000,3085802.327570
0.594759,1.417000,3085803.744570
0.595913,1.381000,3085805.125570
0.597067,1.346000,3085806.471570
0.598222,1.310000,3085807.781570
0.599376,1.274000,3085809.055570
0.600531,1.238000,3085810.293570
0.601686,1.202000,3085811.495570
0.602842,1.166000,3085812.661570
0.603997,1.129000,3085813.790570
0.605153,1.093000,3085814.883570
0.606309,1.057000,3085815.940570
0.607466,1.022000,3085816.962570
0.608622,0.986000,3085817.948570
0.609779,0.950700,3085818.899270
0.610936,0.915700,3085819.814970
0.612093,0.881000,3085820.695970
0.613251,0.846700,3085821.542670
0.614408,0.812900,3085822.355570
0.615566,0.779500,3085823.135070
0.616724,0.746500,3085823.881570
0.617883,0.714100,3085824.595670
0.619041,0.682300,3085825.277970
0.620200,0.651000,3085825.928970
0.621359,0.620300,3085826.549270
0.622519,0.590300,3085827.139570
0.623678,0.560900,3085827.700470
0.624838,0.532200,3085828.232670
0.625998,0.504200,3085828.736870
0.627159,0.477000,3085829.213870
0.628319,0.450400,3085829.664270
0.629480,0.424600,3085830.088870
0.630641,0.399600,3085830.488470
0.631803,0.375400,3085830.863870
0.632964,0.351900,3085831.215770
0.634126,0.329300,3085831.545070
0.635288,0.307500,3085831.852570
0.636450,0.286400,3085832.138970
0.637613,0.266200,3085832.405170
0.638776,0.246900,3085832.652070
0.639939,0.228300,3085832.880370
0.641102,0.210600,3085833.090970
0.642266,0.193700,3085833.284670
0.643429,0.177600,3085833.462270
0.644593,0.162400,3085833.624670
0.645758,0.147900,3085833.772570
0.646922,0.134300,3085833.906870
0.648087,0.121500,3085834.028370
0.649252,0.109400,3085834.137770
0.650418,0.098170,3085834.235940
0.651583,0.087700,3085834.323640
0.652749,0.078000,3085834.401640
0.653915,0.069040,3085834.470680
0.655082,0.060830,3085834.531510
0.656248,0.053350,3085834.584860
0.657415,0.046570,3085834.631430
0.658582,0.040500,3085834.671930
0.659750,0.035100,3085834.707030
0.660918,0.030370,3085834.737400
0.662086,0.026290,3085834.763690
0.663254,0.022840,3085834.786530
0.664422,0.020000,3085834.806530
0.665591,0.017750,3085834.824280
0.666760,0.016070,3085834.840350
0.667929,0.014950,3085834.855300
0.669099,0.014370,3085834.869670
0.670269,0.014300,3085834.883970
0.671439,0.014720,3085834.898690
0.672609,0.015620,3085834.914310
0.673780,0.016970,3085834.931280
0.674951,0.018750,3085834.950030
0.676122,0.020940,3085834.970970
0.677294,0.023530,3085834.994500
0.678465,0.026480,3085835.020980
0.679637,0.029790,3085835.050770
0.680810,0.033420,3085835.084190
0.681982,0.037350,3085835.121540
0.683155,0.041580,3085835.163120
0.684328,0.046070,3085835.209190
0.685502,0.050800,3085835.259990
0.686675,0.055770,3085835.315760
0.687849,0.060930,3085835.376690
0.689024,0.066290,3085835.442980
0.690198,0.071810,3085835.514790
0.691373,0.077480,3085835.592270
0.692548,0.083280,3085835.675550
0.693724,0.089200,3085835.764750
0.694899,0.095200,3085835.859950
0.696075,0.101300,3085835.961250
0.697252,0.107400,3085836.068650
0.698428,0.113600,3085836.182250
0.699605,0.119800,3085836.302050
0.700782,0.126100,3085836.428150
0.701960,0.132300,3085836.560450
0.703137,0.138500,3085836.698950
0.704315,0.144700,3085836.843650
0.705494,0.150800,3085836.994450
0.706672,0.156900,3085837.151350
0.707851,0.162900,3085837.314250
0.709031,0.168800,3085837.483050
0.710210,0.174600,3085837.657650
0.711390,0.180300,3085837.837950
0.712570,0.185900,3085838.023850
0.713750,0.191400,3085838.215250
0.714931,0.196800,3085838.412050
0.716112,0.202000,3085838.614050
0.717293,0.207000,3085838.821050
0.718475,0.211900,3085839.032950
0.719657,0.216600,3085839.249550
0.720839,0.221200,3085839.470750
0.722022,0.225600,3085839.696350
0.723205,0.229700,3085839.926050
0.724388,0.233700,3085840.159750
0.725571,0.237500,3085840.397250
0.726755,0.241200,3085840.638450
0.727939,0.244600,3085840.883050
0.729124,0.247800,3085841.130850
0.730308,0.250700,3085841.381550
0.731493,0.253500,3085841.635050
0.732679,0.256100,3085841.891150
0.733864,0.258400,3085842.149550
0.735050,0.260600,3085842.410150
0.736236,0.262500,3085842.672650
0.737423,0.264200,3085842.936850
0.738610,0.265700,3085843.202550
0.739797,0.267000,3085843.469550
0.740985,0.268000,3085843.737550
0.742173,0.268900,3085844.006450
0.743361,0.269500,3085844.275950
0.744549,0.270000,3085844.545950
0.745738,0.270200,3085844.816150
0.746927,0.270200,3085845.086350
0.748117,0.270000,3085845.356350
0.749307,0.269700,3085845.626050
0.750497,0.269100,3085845.895150
0.751687,0.268300,3085846.163450
0.752878,0.267400,3085846.430850
0.754069,0.266200,3085846.697050
0.755261,0.264900,3085846.961950
0.756453,0.263400,3085847.225350
0.757645,0.261800,3085847.487150
0.758837,0.259900,3085847.747050
0.760030,0.258000,3085848.005050
0.761223,0.255800,3085848.260850
0.762417,0.253500,3085848.514350
0.763611,0.251100,3085848.765450
0.764805,0.248500,3085849.013950
0.765999,0.245800,3085849.259750
0.767194,0.243000,3085849.502750
0.768389,0.240000,3085849.742750
0.769585,0.236900,3085849.979650
0.770781,0.233700,3085850.213350
0.771977,0.230400,3085850.443750
0.773173,0.227000,3085850.670750
0.774370,0.223500,3085850.894250
0.775568,0.219900,3085851.114150
0.776765,0.216200,3085851.330350
0.777963,0.212500,3085851.542850
0.779161,0.208700,3085851.751550
0.780360,0.204800,3085851.956350
0.781559,0.200800,3085852.157150
0.782759,0.196800,3085852.353950
0.783958,0.192800,3085852.546750
0.785158,0.188700,3085852.735450
0.786359,0.184600,3085852.920050
0.787560,0.180400,3085853.100450
0.788761,0.176200,3085853.276650
0.789962,0.172000,3085853.448650
0.791164,0.167800,3085853.616450
0.792366,0.163500,3085853.779950
0.793569,0.159300,3085853.939250
0.794772,0.155000,3085854.094250
0.795975,0.150800,3085854.245050
0.797179,0.146500,3085854.391550
0.798383,0.142300,3085854.533850
0.799587,0.138100,3085854.671950
0.800792,0.133900,3085854.805850
0.801997,0.129800,3085854.935650
0.803203,0.125600,3085855.061250
0.804409,0.121500,3085855.182750
0.805615,0.117500,3085855.300250
0.806822,0.113500,3085855.413750
0.808029,0.109500,3085855.523250
0.809236,0.105600,3085855.628850
0.810444,0.101700,3085855.730550
0.811652,0.097880,3085855.828430
0.812861,0.094120,3085855.922550
0.814070,0.090420,3085856.012970
0.815279,0.086790,3085856.099760
0.816489,0.083230,3085856.182990
0.817699,0.079730,3085856.262720
0.818909,0.076300,3085856.339020
0.820120,0.072950,3085856.411970
0.821331,0.069680,3085856.481650
0.822543,0.066480,3085856.548130
0.823755,0.063360,3085856.611490
0.824967,0.060320,3085856.671810
0.826180,0.057370,3085856.729180
0.827393,0.054500,3085856.783680
0.828607,0.051720,3085856.835400
0.829821,0.049020,3085856.884420
0.831035,0.046410,3085856.930830
0.832250,0.043880,3085856.974710
0.833465,0.041450,3085857.016160
0.834681,0.039100,3085857.055260
0.835897,0.036850,3085857.092110
0.837113,0.034680,3085857.126790
0.838330,0.032600,3085857.159390
0.839547,0.030620,3085857.190010
0.840765,0.028720,3085857.218730
0.841983,0.026920,3085857.245650
0.843201,0.025200,3085857.270850
0.844420,0.023580,3085857.294430
0.845639,0.022040,3085857.316470
0.846859,0.020590,3085857.337060
0.848079,0.019220,3085857.356280
0.849300,0.017950,3085857.374230
0.850520,0.016760,3085857.390990
0.851742,0.015650,3085857.406640
0.852963,0.014620,3085857.421260
0.854186,0.013680,3085857.434940
0.855408,0.012820,3085857.447760
0.856631,0.012040,3085857.459800
0.857855,0.011340,3085857.471140
0.859078,0.010710,3085857.481850
0.860303,0.010160,3085857.492010
0.861527,0.009675,3085857.501685
0.862752,0.009266,3085857.510951
0.863978,0.008926,3085857.519877
0.865204,0.008654,3085857.528531
0.866430,0.008448,3085857.536979
0.867657,0.008306,3085857.545285
0.868884,0.008225,3085857.553510
0.870112,0.008204,3085857.561714
0.871340,0.008240,3085857.569954
0.872569,0.008332,3085857.578286
0.873798,0.008478,3085857.586764
0.875027,0.008675,3085857.595439
0.876257,0.008921,3085857.604360
0.877487,0.009213,3085857.613573
0.878718,0.009551,3085857.623124
0.879949,0.009930,3085857.633054
0.881181,0.010350,3085857.643404
0.882413,0.010810,3085857.654214
0.883646,0.011300,3085857.665514
0.884879,0.011830,3085857.677344
0.886112,0.012390,3085857.689734
0.887346,0.012980,3085857.702714
0.888580,0.013590,3085857.716304
0.889815,0.014230,3085857.730534
0.891051,0.014890,3085857.745424
0.892286,0.015580,3085857.761004
0.893522,0.016280,3085857.777284
0.894759,0.017000,3085857.794284
0.895996,0.017730,3085857.812014
0.897234,0.018470,3085857.830484
0.898472,0.019230,3085857.849714
0.899710,0.019990,3085857.869704
0.900949,0.020760,3085857.890464
0.902189,0.021540,3085857.912004
0.903429,0.022310,3085857.934314
0.904669,0.023090,3085857.957404
0.905910,0.023870,3085857.981274
0.907151,0.024650,3085858.005924
0.908393,0.025420,3085858.031344
0.909635,0.026190,3085858.057534
0.910878,0.026950,3085858.084484
0.912121,0.027700,3085858.112184
0.913365,0.028440,3085858.140624
0.914609,0.029170,3085858.169794
0.915854,0.029890,3085858.199684
0.917099,0.030590,3085858.230274
0.918345,0.031280,3085858.261554
0.919591,0.031950,3085858.293504
0.920838,0.032610,3085858.326114
0.922085,0.033250,3085858.359364
0.923332,0.033870,3085858.393234
0.924580,0.034470,3085858.427704
0.925829,0.035040,3085858.462744
0.927078,0.035600,3085858.498344
0.928328,0.036140,3085858.534484
0.929578,0.036650,3085858.571134
0.930828,0.037140,3085858.608274
0.932079,0.037600,3085858.645874
0.933331,0.038040,3085858.683914
0.934583,0.038460,3085858.722374
0.935836,0.038850,3085858.761224
0.937089,0.039210,3085858.800434
0.938343,0.039550,3085858.839984
0.939597,0.039860,3085858.879844
0.940851,0.040150,3085858.919994
0.942107,0.040410,3085858.960404
0.943362,0.040640,3085859.001044
