4.63 953 35.4404 882.225 76.0077 806.217 
4.65 904 35.212 918.592 75.7325 842.86 
4.67 896 35.8402 901.231 75.4469 825.784 
4.69 745 32.6443 792.585 75.1512 717.434 
4.71 632 30.1765 673.413 74.8452 598.567 
4.73 530 27.7674 545.263 74.529 470.734 
4.75 396 24.1304 445.083 74.2027 370.88 
4.77 400 24.3061 346.609 73.8663 272.743 
4.79 310 21.1907 272.341 73.5199 198.821 
4.81 252 19.5631 230.112 73.1634 156.948 
4.83 226 18.5878 191.774 72.7969 118.977 
4.85 173 16.5064 168.482 72.4204 96.0619 
4.87 153 15.2424 141.61 72.0339 69.5764 
4.89 152 15.6544 133.05 71.6375 61.4121 
4.91 143 14.9837 119.774 71.2312 48.543 
4.93 147 15.6243 116.175 70.8149 45.3603 
4.95 104 13.1739 106.007 70.3887 35.6185 
4.97 103 13.3089 102.333 69.9526 32.3804 
4.99 102 13.2753 97.5697 69.5067 28.063 
5.01 94 12.7467 93.2117 69.0509 24.1608 
5.03 101 13.1618 87.1832 68.5852 18.598 
5.05 111 13.9876 87.3442 68.1097 19.2345 
5.07 85 12.5298 85.9732 67.6243 18.3489 
5.09 101 13.612 84.537 67.1291 17.4079 
5.11 84 12.7349 80.3234 66.624 13.6994 
5.13 89 12.8505 78.0927 66.1091 11.9835 
5.15 73 11.5828 77.7894 65.5845 12.2049 
5.17 74 11.8622 75.5943 65.0499 10.5444 
5.19 75 12.089 74.4135 64.5056 9.90786 
5.21 81 12.6927 74.8003 63.9515 10.8488 
5.23 72 12.1818 73.074 63.3876 9.68645 
5.25 75 12.4486 70.7844 62.8138 7.97057 
5.27 61 11.2998 69.7027 62.2303 7.47241 
5.29 79 12.9212 67.947 61.637 6.31003 
5.31 71 12.2174 67.0394 61.0338 6.0056 
5.33 87 13.6889 66.9247 60.4209 6.50376 
5.35 66 12.2704 65.5824 59.7982 5.7842 
5.37 72 12.6593 64.3411 59.1657 5.17533 
5.39 71 12.928 63.339 58.5235 4.81555 
5.41 44 10.1255 62.2165 57.8714 4.34507 
5.43 69 12.7786 61.5823 57.2096 4.37274 
5.45 59 11.663 61.0767 56.5379 4.53879 
5.47 46 10.7342 60.2846 55.8565 4.42809 
5.49 67 12.75 59.8148 55.1653 4.6495 
5.51 41 9.99304 58.1452 54.4644 3.68085 
5.53 42 10.4165 57.3791 53.7536 3.6255 
5.55 56 12.2644 56.6586 53.0331 3.6255 
5.57 48 11.2235 56.3435 52.3028 4.04063 
5.59 49 11.6629 55.0499 51.5627 3.48712 
5.61 66 13.5785 54.4107 50.8129 3.59782 
5.63 52 12.0133 53.0976 50.0533 3.04431 
5.65 30 9.22125 52.1898 49.2839 2.90594 
5.67 74 14.856 50.9678 48.5047 2.46313 
5.69 46 11.6336 50.594 47.7157 2.87826 
5.71 53 12.7113 49.8783 46.917 2.96129 
5.73 52 12.811 47.9074 46.1085 1.79891 
5.75 45 11.8082 47.8917 45.2902 2.6015 
5.77 50 12.312 46.7593 44.4622 2.29707 
5.79 59 13.9583 45.534 43.6244 1.90961 
5.81 43 12.017 44.6864 42.7768 1.90961 
5.83 36 11.144 43.9397 41.9194 2.02032 
5.85 30 10.1629 43.294 41.0523 2.24172 
5.87 53 13.7723 41.7252 40.1753 1.54983 
5.89 32 10.8991 41.8902 39.2887 2.6015 
5.91 47 13.1347 40.6063 38.3922 2.21405 
5.93 100 18.9295 39.3402 37.486 1.85426 
5.95 61 14.7991 38.2582 36.57 1.68821 
5.97 64 15.6137 37.194 35.6442 1.54983 
5.99 23 9.47654 36.6183 34.7087 1.90961 
