9.98 0 1 0 -0.309641 0 0 
10.02 0 1 0.79193 0.79193 0 0 
10.06 0 1 2.46006 1.8935 0.509275 0.0572827 
10.1 3 1.83901 5.65319 2.99507 2.34266 0.315458 
10.14 5 2.49577 7.15876 4.09664 2.64823 0.413888 
10.18 7 2.87272 8.66155 5.19821 2.97926 0.484079 
10.22 14 4.20703 10.7938 6.29978 3.99781 0.496181 
10.26 16 4.48049 11.7077 7.40136 3.74317 0.563146 
10.3 19 5.00284 14.5968 8.50293 5.44924 0.644632 
10.34 24 5.69395 16.1911 9.6045 5.93305 0.653507 
10.38 14 4.50493 17.862 10.7061 6.41686 0.739028 
10.42 27 6.25035 19.9753 11.8076 7.28263 0.885059 
10.46 32 6.85686 22.3201 12.9092 8.50489 0.906035 
10.5 33 6.97536 23.2121 14.0108 8.19932 1.00204 
10.54 37 7.47833 26.2596 15.1124 10.0072 1.14001 
10.58 40 7.86432 28.427 16.2139 11.0513 1.16179 
10.62 42 8.24329 32.8867 17.3155 14.2852 1.28604 
10.66 48 8.91799 34.4052 18.4171 14.5907 1.39738 
10.7 39 8.13825 37.4656 19.5186 16.4496 1.49742 
10.74 43 8.77437 41.5535 20.6202 19.327 1.60634 
10.78 57 10.2812 45.9988 21.7218 22.6118 1.66523 
10.82 66 11.3076 49.2894 22.8233 24.5725 1.89356 
10.86 53 10.3035 55.1421 23.9249 29.2833 1.9339 
10.9 45 9.61351 62.726 25.0265 35.5219 2.17755 
10.94 38 9.07499 71.0424 26.1281 42.6263 2.28808 
10.98 69 12.5002 84.8778 27.2296 55.1035 2.54464 
11.02 93 14.7273 102.496 28.3312 71.2475 2.91739 
11.06 117 16.7493 124.346 29.4328 91.4912 3.42244 
11.1 161 19.9818 167.949 30.5343 133.532 3.88312 
11.14 234 24.4867 226.668 31.6359 190.596 4.43578 
11.18 308 28.3882 315.348 32.7375 277.555 5.0554 
11.22 512 37.0675 458.648 33.8391 418.929 5.87915 
11.26 606 40.9919 578.091 34.9406 535.91 7.24022 
11.3 627 42.0904 612.855 36.0422 568.325 8.48753 
11.34 531 39.0872 559.979 37.1438 512.356 10.4795 
11.38 405 34.6647 440.548 38.2453 389.264 13.0387 
11.42 299 29.9462 326.305 39.3469 270.374 16.5838 
11.46 315 30.9058 240.826 40.4485 179.01 21.3673 
11.5 269 29.0402 197.534 41.5501 127.65 28.334 
11.54 159 22.362 171.63 42.6516 93.0445 35.934 
11.58 150 21.9769 158.82 43.7532 68.472 46.5951 
11.62 158 22.6312 154.749 44.8548 53.0919 56.8027 
11.66 152 22.2914 154.62 45.9563 46.013 62.6504 
11.7 123 20.008 143.309 47.0579 35.0381 61.2135 
11.74 141 21.5804 130.365 48.1595 27.2207 54.985 
11.78 154 22.753 120.659 49.261 24.929 46.4692 
11.82 123 20.5326 107.204 50.3626 19.8617 36.9796 
11.86 90 17.8423 97.5361 51.4642 17.6209 28.451 
11.9 73 16.0301 89.441 52.5658 14.769 22.1063 
11.94 67 15.4588 85.7643 53.6673 14.9727 17.1243 
11.98 63 14.989 81.6623 54.7689 13.674 13.2194 
12.02 96 18.5706 76.2503 55.8705 9.80354 10.5763 
12.06 72 16.2731 76.7125 56.972 10.8221 8.91836 
12.1 76 16.6273 75.5729 58.0736 10.0582 7.44111 
12.14 73 16.4865 74.2541 59.1752 8.4285 6.65045 
12.18 55 14.3388 71.2157 60.2768 5.55109 5.3878 
12.22 111 20.4139 73.5106 61.3783 7.28263 4.84967 
12.26 60 15.0253 72.1751 62.4799 5.52563 4.16954 
12.3 86 17.9639 72.8564 63.5815 5.80573 3.46924 
12.34 104 20.1613 72.234 64.683 4.22698 3.32401 
12.38 75 16.9352 73.3361 65.7846 4.71079 2.84074 
12.42 77 17.2722 74.6045 66.8862 5.1946 2.52367 
12.46 66 16.1786 74.4136 67.9878 3.97234 2.45348 
12.5 84 18.335 74.3768 69.0893 3.1575 2.12995 
12.54 79 17.7926 77.3138 70.1909 5.24553 1.87742 
12.58 66 16.1739 76.5019 71.2925 3.48853 1.7209 
12.62 80 18.0574 77.7979 72.394 3.89595 1.50791 
12.66 85 18.5624 77.7968 73.4956 2.77555 1.52566 
12.7 56 15.118 79.0732 74.5972 3.08111 1.39496 
12.74 73 17.4105 79.8893 75.6987 2.90287 1.28765 
12.78 61 15.8649 80.0586 76.8003 2.06256 1.19568 
12.82 86 18.8693 81.5067 77.9019 2.49545 1.10935 
12.86 87 19.1528 82.6041 79.0035 2.44452 1.15614 
12.9 78 17.9551 83.2518 80.105 2.18988 0.956864 
12.94 118 22.3244 84.1168 81.2066 1.90978 1.00043 
12.98 103 20.7353 85.5419 82.3082 2.3172 0.916524 
